species	gene
Lactobacillus_crispatus	group_1386
Lactobacillus_crispatus	group_239
Lactobacillus_crispatus	group_220
Lactobacillus_crispatus	group_623
Lactobacillus_crispatus	group_509
Lactobacillus_crispatus	rcsC
Lactobacillus_gasseri	group_816
Lactobacillus_gasseri	group_263
Lactobacillus_gasseri	group_97
Lactobacillus_gasseri	group_112
Lactobacillus_gasseri	gltC
Lactobacillus_jensenii	efpA
Lactobacillus_jensenii	group_83
Lactobacillus_jensenii	group_214
Lactobacillus_jensenii	bfrA
Lactobacillus_jensenii	group_103
Lactobacillus_jensenii	group_453
Lactobacillus_jensenii	group_454
Lactobacillus_jensenii	adhT
Lactobacillus_mulieris	group_245
Lactobacillus_mulieris	group_315
Lactobacillus_mulieris	group_396
Lactobacillus_mulieris	arcD
Lactobacillus_mulieris	guaD
Lactobacillus_mulieris	group_152
Lactobacillus_mulieris	group_186
Lactobacillus_paragasseri	asp2
Lactobacillus_paragasseri	group_266
Lactobacillus_paragasseri	group_278
