species,strain,accession
Lactobacillus_crispatus,UMB0803,GCA_002861765.1
Lactobacillus_crispatus,UMB6887,GCA_030216545.1
Lactobacillus_crispatus,UMB7805,GCA_030226265.1
Lactobacillus_crispatus,UMB8929B,GCA_030230695.1
Lactobacillus_paragasseri,UMB0056,GCA_002884735.1
Lactobacillus_paragasseri,UMB5640,GCA_030216965.1
Lactobacillus_paragasseri,UMB6357,GCA_030216895.1
Lactobacillus_gasseri,UMB6735,GCA_030216645.1
Lactobacillus_gasseri,UMB1399,GCA_007826985.2
Lactobacillus_jensenii,UMB7786,GCA_030215165.1
Lactobacillus_jensenii,UMB0732,GCA_030218485.1
Lactobacillus_jensenii,UMB10187,GCA_030211725.1
Lactobacillus_mulieris,UMB7783B,GCA_030228195.1
Lactobacillus_mulieris,UMB0007B,GCA_026184155.1
