Gene,Non-unique Gene name,Annotation,Lactobacillus_paragasseri__UMB0056__GCA_002884735.1,Lactobacillus_paragasseri__UMB5640__GCA_030216965.1,Lactobacillus_paragasseri__UMB6357__GCA_030216895.1
group_893,,hypothetical protein,CHONFCMC_01843,KGGMHOKE_00791,JPPLDLFD_01136
cpoA,cpoA,Alpha-galactosylglucosyldiacylglycerol synthase,CHONFCMC_01842,KGGMHOKE_00792,JPPLDLFD_01135
ltaS1,ltaS1,Lipoteichoic acid synthase 1,CHONFCMC_01844,KGGMHOKE_00790,JPPLDLFD_01137
group_892,,hypothetical protein,CHONFCMC_01829,KGGMHOKE_00805,JPPLDLFD_01122
group_891,,Alpha-monoglucosyldiacylglycerol synthase,CHONFCMC_01841,KGGMHOKE_00793,JPPLDLFD_01134
group_890,,hypothetical protein,CHONFCMC_01796,KGGMHOKE_00122,JPPLDLFD_00212
gabD1,gabD1,Succinate-semialdehyde dehydrogenase [NADP(+)] 1,CHONFCMC_01806,KGGMHOKE_00133,JPPLDLFD_00202
group_888,,hypothetical protein,CHONFCMC_01800,KGGMHOKE_00126,JPPLDLFD_00208
luxS,luxS,S-ribosylhomocysteine lyase,CHONFCMC_01770,KGGMHOKE_00090,JPPLDLFD_00242
group_886,,hypothetical protein,CHONFCMC_01753,KGGMHOKE_00365,JPPLDLFD_00627
yoaB_1,;yoaB_1,Calcium-transporting ATPase 1,CHONFCMC_01748;CHONFCMC_01747,KGGMHOKE_00370;KGGMHOKE_00371,JPPLDLFD_00632
dinG_2,dinG_2,3'-5' exonuclease DinG,CHONFCMC_01784,KGGMHOKE_00111,JPPLDLFD_00223
group_883,,hypothetical protein,CHONFCMC_01805,KGGMHOKE_00131;KGGMHOKE_00132,JPPLDLFD_00203
group_881,,hypothetical protein,CHONFCMC_01773,KGGMHOKE_00093,JPPLDLFD_00239
bceA,bceA,Bacitracin export ATP-binding protein BceA,CHONFCMC_01738,KGGMHOKE_00354,JPPLDLFD_00643
pepDA_3,pepDA_3,Dipeptidase A,CHONFCMC_01788,KGGMHOKE_00115,JPPLDLFD_00219
tcyP,tcyP,L-cystine uptake protein TcyP,CHONFCMC_01772,KGGMHOKE_00092,JPPLDLFD_00240
group_879,ycaM_4,Inner membrane transporter YcaM,CHONFCMC_01737,KGGMHOKE_00353,JPPLDLFD_00644
pepT_1~~~pepT_2,pepT_1;pepT_2,Peptidase T,CHONFCMC_01780,KGGMHOKE_00107,JPPLDLFD_00227
paiA,paiA,Spermidine/spermine N(1)-acetyltransferase,CHONFCMC_01797,KGGMHOKE_00123,JPPLDLFD_00211
bglH_4,bglH_4,Aryl-phospho-beta-D-glucosidase BglH,CHONFCMC_01763,KGGMHOKE_00084,JPPLDLFD_01040
exoA_2,exoA_2,Exodeoxyribonuclease,CHONFCMC_01743,KGGMHOKE_00375,JPPLDLFD_00638
group_877,,hypothetical protein,CHONFCMC_01778,KGGMHOKE_00097,JPPLDLFD_00229
group_875,,hypothetical protein,CHONFCMC_01742,KGGMHOKE_00376,JPPLDLFD_00639
group_874,,hypothetical protein,CHONFCMC_01807,KGGMHOKE_00134,JPPLDLFD_00201;JPPLDLFD_00200
group_873,,hypothetical protein,CHONFCMC_01808,KGGMHOKE_00135,JPPLDLFD_00199
group_872,,hypothetical protein,CHONFCMC_01810,KGGMHOKE_00137,JPPLDLFD_00197
group_871,,Putative phosphatase,CHONFCMC_01803,KGGMHOKE_00129,JPPLDLFD_00205
sugC,sugC,Trehalose import ATP-binding protein SugC,CHONFCMC_01789,KGGMHOKE_00116,JPPLDLFD_00218
group_869,,Protein ADP-ribosyltransferase,CHONFCMC_01783,KGGMHOKE_00110,JPPLDLFD_00224
group_868,,hypothetical protein,CHONFCMC_01801,KGGMHOKE_00127,JPPLDLFD_00207
group_866,ybbH_2,putative HTH-type transcriptional regulator YbbH,CHONFCMC_01746,KGGMHOKE_00372,JPPLDLFD_00635
efp_2,efp_2,Elongation factor P,CHONFCMC_01759,KGGMHOKE_00359,JPPLDLFD_00621
group_865,,hypothetical protein,CHONFCMC_01757,KGGMHOKE_00361,JPPLDLFD_00623
dkgB,dkgB,25-diketo-D-gluconic acid reductase B,CHONFCMC_01786,KGGMHOKE_00113,JPPLDLFD_00221
group_864,,hypothetical protein,CHONFCMC_01785,KGGMHOKE_00112,JPPLDLFD_00222
licT_4~~~licT_1,licT_4;licT_1,Transcription antiterminator LicT,CHONFCMC_01761,KGGMHOKE_00082,JPPLDLFD_01042
oppA_3~~~oppA_4,oppA_3;oppA_4,Oligopeptide-binding protein OppA,CHONFCMC_01766,KGGMHOKE_00087,JPPLDLFD_01035
araQ,araQ,Arabinooligosaccharides transport system permease protein AraQ,CHONFCMC_01791,KGGMHOKE_00118,JPPLDLFD_00216
group_863,,hypothetical protein,CHONFCMC_01774,KGGMHOKE_00094,JPPLDLFD_00232
group_862,,hypothetical protein,CHONFCMC_01765,KGGMHOKE_00086,JPPLDLFD_01036;JPPLDLFD_01037;JPPLDLFD_01038
group_861,,hypothetical protein,CHONFCMC_01809,KGGMHOKE_00136,JPPLDLFD_00198
yxdM,yxdM,ABC transporter permease protein YxdM,CHONFCMC_01739,KGGMHOKE_00355,JPPLDLFD_00642
mscL,mscL,Large-conductance mechanosensitive channel,CHONFCMC_01775,KGGMHOKE_00095,JPPLDLFD_00231
group_859,,hypothetical protein,CHONFCMC_01795,KGGMHOKE_00121,JPPLDLFD_00213
group_858,,hypothetical protein,CHONFCMC_01787,KGGMHOKE_00114,JPPLDLFD_00220
group_857,,hypothetical protein,0_refound_1,KGGMHOKE_00366,2_refound_9
coaA,coaA,Pantothenate kinase,CHONFCMC_01758,KGGMHOKE_00360,JPPLDLFD_00622
bglF_4,bglF_4,PTS system beta-glucoside-specific EIIBCA component,CHONFCMC_01762,KGGMHOKE_00083,JPPLDLFD_01041
group_856,,hypothetical protein,CHONFCMC_01782,KGGMHOKE_00109,JPPLDLFD_00225
ptsG,ptsG,PTS system glucose-specific EIICBA component,CHONFCMC_01744,KGGMHOKE_00374,JPPLDLFD_00637
bca,;bca,hypothetical protein;C protein alpha-antigen,CHONFCMC_01760,KGGMHOKE_00080;KGGMHOKE_00358;KGGMHOKE_00081;KGGMHOKE_00356;KGGMHOKE_00357,JPPLDLFD_01043
group_855,,hypothetical protein,CHONFCMC_01768,KGGMHOKE_00089,JPPLDLFD_01032
group_854,,hypothetical protein,CHONFCMC_01750,KGGMHOKE_00368,JPPLDLFD_00630
lacF_3,lacF_3,Lactose transport system permease protein LacF,CHONFCMC_01790,KGGMHOKE_00117,JPPLDLFD_00217
helD,helD,DNA helicase IV,CHONFCMC_01751,KGGMHOKE_00367,JPPLDLFD_00629
gpmA_5,gpmA_5,23-bisphosphoglycerate-dependent phosphoglycerate mutase,CHONFCMC_01740,KGGMHOKE_00378,JPPLDLFD_00641
group_852,,hypothetical protein,CHONFCMC_01741,KGGMHOKE_00377,JPPLDLFD_00640
group_851,,hypothetical protein,CHONFCMC_01749,KGGMHOKE_00369,JPPLDLFD_00631
group_850,,hypothetical protein,CHONFCMC_01777;CHONFCMC_01776,KGGMHOKE_00096,JPPLDLFD_00230
group_849,,hypothetical protein,CHONFCMC_01755,KGGMHOKE_00363,JPPLDLFD_00625
group_848,,hypothetical protein,CHONFCMC_01804,KGGMHOKE_00130,JPPLDLFD_00204
group_847,,hypothetical protein,CHONFCMC_01802,KGGMHOKE_00128,JPPLDLFD_00206
uvrA_3,uvrA_3,UvrABC system protein A,CHONFCMC_01767,KGGMHOKE_00088,JPPLDLFD_01033
rnj,rnj,Ribonuclease J,CHONFCMC_01792,KGGMHOKE_00119,JPPLDLFD_00215
group_846,,Acetyltransferase,CHONFCMC_01798,KGGMHOKE_00124,JPPLDLFD_00210
serS,serS,Serine--tRNA ligase,CHONFCMC_01811,KGGMHOKE_00138,JPPLDLFD_00196
group_845,,hypothetical protein,CHONFCMC_01754,KGGMHOKE_00364,JPPLDLFD_00626
group_844,,hypothetical protein,CHONFCMC_01793;CHONFCMC_01794,KGGMHOKE_00120,JPPLDLFD_00214
licC_4,licC_4,Lichenan permease IIC component,CHONFCMC_01756,KGGMHOKE_00362,JPPLDLFD_00624
group_843,,hypothetical protein,CHONFCMC_01781,KGGMHOKE_00108,JPPLDLFD_00226
nanE,nanE,Putative N-acetylmannosamine-6-phosphate 2-epimerase,CHONFCMC_01745,KGGMHOKE_00373,JPPLDLFD_00636
metE,metE;,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase;hypothetical protein,CHONFCMC_01771,KGGMHOKE_00091,JPPLDLFD_00241
murK,murK,N-acetylmuramic acid/N-acetylglucosamine kinase,CHONFCMC_01799,KGGMHOKE_00125,JPPLDLFD_00209
yicL_2~~~yicL_1,yicL_2;yicL_1,putative inner membrane transporter YicL,CHONFCMC_01764,KGGMHOKE_00085,JPPLDLFD_01039
