Gene,Non-unique Gene name,Annotation,max_pident,max_aln_len,n_hits,qlen,max_cov
group_545,,hypothetical protein,0.0,0,0,,0.0
group_539,,hypothetical protein,0.0,0,0,,0.0
hcaR~~~gltC_3,hcaR;gltC_3,Hca operon transcriptional activator HcaR;Transcriptional dual regulator GltC,0.0,0,0,,0.0
arcD,arcD,Arginine/ornithine antiporter,0.0,0,0,,0.0
group_482,,hypothetical protein,0.0,0,0,,0.0
group_399,,hypothetical protein,0.0,0,0,,0.0
group_398,,hypothetical protein,0.0,0,0,,0.0
group_396,,hypothetical protein,0.0,0,0,,0.0
iolS,iolS,Aldo-keto reductase IolS,0.0,0,0,,0.0
group_387,,hypothetical protein,0.0,0,0,,0.0
adhR,adhR,HTH-type transcriptional regulator AdhR,0.0,0,0,,0.0
yurK,yurK,putative HTH-type transcriptional regulator YurK,0.0,0,0,,0.0
group_336,,hypothetical protein,0.0,0,0,,0.0
group_333,,hypothetical protein,0.0,0,0,,0.0
gatC_1,;gatC_1,hypothetical protein;PTS system galactitol-specific EIIC component,0.0,0,0,,0.0
group_318,,hypothetical protein,0.0,0,0,,0.0
group_315,,hypothetical protein,0.0,0,0,,0.0
group_314,,hypothetical protein,0.0,0,0,,0.0
kdgA,kdgA,2-dehydro-3-deoxy-phosphogluconate aldolase,0.0,0,0,,0.0
group_308,,hypothetical protein,0.0,0,0,,0.0
gatB_2,gatB_2,PTS system galactitol-specific EIIB component,0.0,0,0,,0.0
group_245,,hypothetical protein,0.0,0,0,,0.0
yofA,yofA;,HTH-type transcriptional regulator YofA;hypothetical protein,0.0,0,0,,0.0
group_224,,hypothetical protein,0.0,0,0,,0.0
group_223,,hypothetical protein,0.0,0,0,,0.0
group_216,,hypothetical protein,0.0,0,0,,0.0
group_186,,hypothetical protein,0.0,0,0,,0.0
smc_4,smc_4;,Chromosome partition protein Smc;hypothetical protein,0.0,0,0,,0.0
group_156,,hypothetical protein,0.0,0,0,,0.0
guaD,guaD,Guanine deaminase,0.0,0,0,,0.0
group_152,,Nucleobase transporter PlUacP,0.0,0,0,,0.0
group_60,,hypothetical protein,0.0,0,0,,0.0
group_56,,hypothetical protein,0.0,0,0,,0.0
group_48,,hypothetical protein,0.0,0,0,,0.0
