Gene,Non-unique Gene name,Annotation,max_pident,max_aln_len,n_hits,qlen,max_cov
group_1387,,hypothetical protein,0.0,0,0,,0.0
group_1386,,hypothetical protein,0.0,0,0,,0.0
group_1363,,hypothetical protein,0.0,0,0,,0.0
group_1107,,hypothetical protein,0.0,0,0,,0.0
group_1105,,hypothetical protein,0.0,0,0,,0.0
group_1104,,hypothetical protein,0.0,0,0,,0.0
group_1103,,hypothetical protein,0.0,0,0,,0.0
group_1101,,hypothetical protein,0.0,0,0,,0.0
group_1088,,hypothetical protein,0.0,0,0,,0.0
group_1077,,hypothetical protein,0.0,0,0,,0.0
group_1076,,hypothetical protein,0.0,0,0,,0.0
group_1072,,hypothetical protein,0.0,0,0,,0.0
group_1070,,hypothetical protein,0.0,0,0,,0.0
group_1069,,hypothetical protein,0.0,0,0,,0.0
group_1068,,hypothetical protein,0.0,0,0,,0.0
group_1067,,IS200/IS605 family transposase ISLjo5,0.0,0,0,,0.0
group_1066,,hypothetical protein,0.0,0,0,,0.0
mntH,mntH,Divalent metal cation transporter MntH,0.0,0,0,,0.0
group_1057,,hypothetical protein,0.0,0,0,,0.0
group_1055,,hypothetical protein,0.0,0,0,,0.0
group_1050,,hypothetical protein,0.0,0,0,,0.0
group_1040,,hypothetical protein,0.0,0,0,,0.0
group_1039,,hypothetical protein,0.0,0,0,,0.0
group_1038,,hypothetical protein,0.0,0,0,,0.0
group_1037,,hypothetical protein,0.0,0,0,,0.0
group_1036,,hypothetical protein,0.0,0,0,,0.0
dppA_5,dppA_5,Dipeptide-binding protein,0.0,0,0,,0.0
group_1029,,hypothetical protein,0.0,0,0,,0.0
group_1027,,hypothetical protein,0.0,0,0,,0.0
group_1026,,hypothetical protein,0.0,0,0,,0.0
group_1025,,hypothetical protein,0.0,0,0,,0.0
group_1024,,hypothetical protein,0.0,0,0,,0.0
citX,citX,Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,0.0,0,0,,0.0
group_1023,,hypothetical protein,0.0,0,0,,0.0
group_1022,,hypothetical protein,0.0,0,0,,0.0
group_1021,,hypothetical protein,0.0,0,0,,0.0
group_1002,,hypothetical protein,0.0,0,0,,0.0
group_995,,hypothetical protein,0.0,0,0,,0.0
group_985,,hypothetical protein,0.0,0,0,,0.0
group_980,,hypothetical protein,0.0,0,0,,0.0
group_979,,hypothetical protein,0.0,0,0,,0.0
group_976,,hypothetical protein,0.0,0,0,,0.0
group_975,,hypothetical protein,0.0,0,0,,0.0
group_971,,hypothetical protein,0.0,0,0,,0.0
spxH,spxH,ClpXP adapter protein SpxH,0.0,0,0,,0.0
group_961,,hypothetical protein,0.0,0,0,,0.0
group_960,,hypothetical protein,0.0,0,0,,0.0
group_957,,hypothetical protein,0.0,0,0,,0.0
group_955,,hypothetical protein,0.0,0,0,,0.0
group_951,,hypothetical protein,0.0,0,0,,0.0
group_950,,hypothetical protein,0.0,0,0,,0.0
trcR_1,trcR_1,Transcriptional regulatory protein TrcR,0.0,0,0,,0.0
dppA_4,dppA_4,Dipeptide-binding protein,0.0,0,0,,0.0
group_946,,hypothetical protein,0.0,0,0,,0.0
group_945,,hypothetical protein,0.0,0,0,,0.0
sasA_4,sasA_4,Adaptive-response sensory-kinase SasA,0.0,0,0,,0.0
group_899,,hypothetical protein,0.0,0,0,,0.0
group_888,,Hydroxypyruvate reductase,0.0,0,0,,0.0
group_850,,hypothetical protein,0.0,0,0,,0.0
group_840,,hypothetical protein,0.0,0,0,,0.0
yfeO,yfeO,Putative ion-transport protein YfeO,0.0,0,0,,0.0
group_838,,hypothetical protein,0.0,0,0,,0.0
group_836,,hypothetical protein,0.0,0,0,,0.0
ybjI_3,ybjI_3,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI,0.0,0,0,,0.0
group_834,,hypothetical protein,0.0,0,0,,0.0
group_832,,hypothetical protein,0.0,0,0,,0.0
group_831,,hypothetical protein,0.0,0,0,,0.0
gpmA_4,;gpmA_4,hypothetical protein;23-bisphosphoglycerate-dependent phosphoglycerate mutase,0.0,0,0,,0.0
group_829,,hypothetical protein,0.0,0,0,,0.0
group_828,,hypothetical protein,0.0,0,0,,0.0
group_827,,hypothetical protein,0.0,0,0,,0.0
ywqA_2~~~ywqA_1~~~rapA,;ywqA_2;ywqA_1;rapA,hypothetical protein;Putative ATP-dependent helicase/translocase YwqA;RNA polymerase-associated protein RapA,0.0,0,0,,0.0
group_824,,hypothetical protein,0.0,0,0,,0.0
group_823,,hypothetical protein,0.0,0,0,,0.0
group_822,,hypothetical protein,0.0,0,0,,0.0
group_821,,hypothetical protein,0.0,0,0,,0.0
group_817,,hypothetical protein,0.0,0,0,,0.0
group_813,,hypothetical protein,0.0,0,0,,0.0
ucpA,;ucpA,hypothetical protein;Oxidoreductase UcpA,0.0,0,0,,0.0
virS,virS;,HTH-type transcriptional regulator VirS;hypothetical protein,0.0,0,0,,0.0
group_812,,hypothetical protein,0.0,0,0,,0.0
group_810,,hypothetical protein,0.0,0,0,,0.0
group_808,,hypothetical protein,0.0,0,0,,0.0
group_807,,hypothetical protein,0.0,0,0,,0.0
group_804,,hypothetical protein,0.0,0,0,,0.0
group_801,,hypothetical protein,0.0,0,0,,0.0
group_796,,hypothetical protein,0.0,0,0,,0.0
group_794,,hypothetical protein,0.0,0,0,,0.0
proX,proX,Prolyl-tRNA editing protein ProX,0.0,0,0,,0.0
group_790,,hypothetical protein,0.0,0,0,,0.0
group_787,,N-acetyldiaminopimelate deacetylase,0.0,0,0,,0.0
dppA_4~~~dppA_3,dppA_4;dppA_3,Dipeptide-binding protein,0.0,0,0,,0.0
group_785,,putative protein,0.0,0,0,,0.0
group_783,,hypothetical protein,0.0,0,0,,0.0
group_780,,hypothetical protein,0.0,0,0,,0.0
tnpB,tnpB,RNA-guided DNA endonuclease TnpB,0.0,0,0,,0.0
group_778,,hypothetical protein,0.0,0,0,,0.0
group_776,,hypothetical protein,0.0,0,0,,0.0
group_767,,hypothetical protein,0.0,0,0,,0.0
group_765,,hypothetical protein,0.0,0,0,,0.0
group_764,,hypothetical protein,0.0,0,0,,0.0
group_763,,hypothetical protein,0.0,0,0,,0.0
proA,proA,4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase,0.0,0,0,,0.0
group_760,,hypothetical protein,0.0,0,0,,0.0
group_756,,hypothetical protein,0.0,0,0,,0.0
group_753,,hypothetical protein,0.0,0,0,,0.0
group_752,,hypothetical protein,0.0,0,0,,0.0
group_751,,hypothetical protein,0.0,0,0,,0.0
group_749,,hypothetical protein,0.0,0,0,,0.0
group_739,,hypothetical protein,0.0,0,0,,0.0
group_735,,hypothetical protein,0.0,0,0,,0.0
group_730,,hypothetical protein,0.0,0,0,,0.0
group_725,,hypothetical protein,0.0,0,0,,0.0
group_719,,hypothetical protein,0.0,0,0,,0.0
yoeB~~~yoeB_1,yoeB;yoeB_1,Toxin YoeB,0.0,0,0,,0.0
murJ_2,murJ_2,Lipid II flippase MurJ,0.0,0,0,,0.0
group_712,,hypothetical protein,0.0,0,0,,0.0
group_709,,hypothetical protein,0.0,0,0,,0.0
group_704,,hypothetical protein,0.0,0,0,,0.0
group_687,,hypothetical protein,0.0,0,0,,0.0
group_685,,hypothetical protein,0.0,0,0,,0.0
group_682,,hypothetical protein,0.0,0,0,,0.0
group_680,,hypothetical protein,0.0,0,0,,0.0
group_677,,hypothetical protein,0.0,0,0,,0.0
group_676,,hypothetical protein,0.0,0,0,,0.0
fepC,fepC,Ferric enterobactin transport ATP-binding protein FepC,0.0,0,0,,0.0
group_675,,hypothetical protein,0.0,0,0,,0.0
group_671,,hypothetical protein,0.0,0,0,,0.0
group_668,,hypothetical protein,0.0,0,0,,0.0
isdF,isdF,putative heme-iron transport system permease protein IsdF,0.0,0,0,,0.0
isdE,isdE,High-affinity heme uptake system protein IsdE,0.0,0,0,,0.0
group_661,,hypothetical protein,0.0,0,0,,0.0
