Gene,Non-unique Gene name,Annotation,Lactobacillus_gasseri__UMB1399__GCA_007826985.2,Lactobacillus_gasseri__UMB6735__GCA_030216645.1
group_824,,hypothetical protein,DLKHCADP_01444,FKLDPHGP_01674
group_823,,hypothetical protein,0_refound_5_pseudo,FKLDPHGP_01224
ecfA2,ecfA2,Energy-coupling factor transporter ATP-binding protein EcfA2,0_refound_4_pseudo,FKLDPHGP_01060
ftsL_3,ftsL_3,Cell division protein FtsL,0_refound_3_pseudo,FKLDPHGP_01013
walK,walK,Sensor histidine kinase WalK,0_refound_2_pseudo,FKLDPHGP_00805
prfA,prfA,Peptide chain release factor 1,0_refound_1_pseudo,FKLDPHGP_00722
uvrB_2,uvrB_2,UvrABC system protein B,DLKHCADP_01798,FKLDPHGP_00794
polC_2,polC_2,DNA polymerase III PolC-type,DLKHCADP_01823,FKLDPHGP_00769
smpB,smpB,SsrA-binding protein,DLKHCADP_01814,FKLDPHGP_00778
tpiA,tpiA,Triosephosphate isomerase,DLKHCADP_01810,FKLDPHGP_00782
group_821,,hypothetical protein,DLKHCADP_01800,FKLDPHGP_00792
pta,pta,Phosphate acetyltransferase,DLKHCADP_01821,FKLDPHGP_00771
galM,galM,Aldose 1-epimerase,DLKHCADP_01796,FKLDPHGP_00796
pgcA,pgcA,Phosphoglucomutase,DLKHCADP_01797,FKLDPHGP_00795
ung,ung,Uracil-DNA glycosylase,DLKHCADP_01820,FKLDPHGP_00772
rnr,rnr,Ribonuclease R,DLKHCADP_01813,FKLDPHGP_00779
tsaE,tsaE,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,DLKHCADP_01822,FKLDPHGP_00770
eno2_2,eno2_2,Enolase 2,DLKHCADP_01811,FKLDPHGP_00781
lacR_2,lacR_2,HTH-type transcriptional regulator LacR,DLKHCADP_01793,FKLDPHGP_00799
ycaM_3,ycaM_3,Inner membrane transporter YcaM,DLKHCADP_01805,FKLDPHGP_00787
group_820,,hypothetical protein,DLKHCADP_01817,FKLDPHGP_00775
gap,gap,Glyceraldehyde-3-phosphate dehydrogenase,DLKHCADP_01808,FKLDPHGP_00784
galK_2,galK_2,Galactokinase,DLKHCADP_01794,FKLDPHGP_00798
galT,galT,Galactose-1-phosphate uridylyltransferase,DLKHCADP_01795,FKLDPHGP_00797
rimI_2,rimI_2,[Ribosomal protein bS18]-alanine N-acetyltransferase,DLKHCADP_01815,FKLDPHGP_00777
uvrA_2,uvrA_2,UvrABC system protein A,DLKHCADP_01799,FKLDPHGP_00793
group_819,,hypothetical protein,DLKHCADP_01816,FKLDPHGP_00776
group_818,,hypothetical protein,DLKHCADP_01818,FKLDPHGP_00774
cggR,cggR,Central glycolytic genes regulator,DLKHCADP_01807,FKLDPHGP_00785
group_817,,Putative gluconeogenesis factor,DLKHCADP_01802,FKLDPHGP_00790
ywpJ,ywpJ,Phosphatase YwpJ,DLKHCADP_01819,FKLDPHGP_00773
secG,secG,putative protein-export membrane protein SecG,DLKHCADP_01812,FKLDPHGP_00780
clpP_3,clpP_3,ATP-dependent Clp protease proteolytic subunit,DLKHCADP_01804,FKLDPHGP_00788
pgk,pgk,Phosphoglycerate kinase,DLKHCADP_01809,FKLDPHGP_00783
whiA,whiA,putative cell division protein WhiA,DLKHCADP_01803,FKLDPHGP_00789
yvcJ,yvcJ,Nucleotide-binding protein YvcJ,DLKHCADP_01801,FKLDPHGP_00791
walR,walR,Transcriptional regulatory protein WalR,DLKHCADP_01750,FKLDPHGP_00804
ybiV_2,ybiV_2,Sugar phosphatase YbiV,DLKHCADP_01590,FKLDPHGP_00083
rapA,rapA,RNA polymerase-associated protein RapA,DLKHCADP_01582,FKLDPHGP_00370
hslO,hslO,33 kDa chaperonin,DLKHCADP_01581,FKLDPHGP_01018
xerC_5,xerC_5,Tyrosine recombinase XerC,DLKHCADP_01576,FKLDPHGP_00374
hsdS,hsdS,Type I restriction enzyme EcoR124I/EcoR124II specificity subunit,DLKHCADP_01575,FKLDPHGP_00375
group_816,,hypothetical protein,DLKHCADP_01577,FKLDPHGP_00373
