Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_paragasseri__UMB0056__GCA_002884735.1,Lactobacillus_paragasseri__UMB5640__GCA_030216965.1,Lactobacillus_paragasseri__UMB6357__GCA_030216895.1
group_893,,hypothetical protein,3,3,1.0,15,5,,,,1017,1017,1017.0,CHONFCMC_01843,KGGMHOKE_00791,JPPLDLFD_01136
cpoA,cpoA,Alpha-galactosylglucosyldiacylglycerol synthase,3,3,1.0,15,4,,,,1044,1044,1044.0,CHONFCMC_01842,KGGMHOKE_00792,JPPLDLFD_01135
ltaS1,ltaS1,Lipoteichoic acid synthase 1,3,3,1.0,15,3,,,,2070,2070,2070.0,CHONFCMC_01844,KGGMHOKE_00790,JPPLDLFD_01137
group_892,,hypothetical protein,3,3,1.0,15,2,,,,363,363,363.0,CHONFCMC_01829,KGGMHOKE_00805,JPPLDLFD_01122
group_891,,Alpha-monoglucosyldiacylglycerol synthase,3,3,1.0,15,1,,,,1167,1167,1167.0,CHONFCMC_01841,KGGMHOKE_00793,JPPLDLFD_01134
group_890,,hypothetical protein,3,3,1.0,14,91,,,,459,459,459.0,CHONFCMC_01796,KGGMHOKE_00122,JPPLDLFD_00212
gabD1,gabD1,Succinate-semialdehyde dehydrogenase [NADP(+)] 1,3,3,1.0,14,89,,,,1374,1374,1374.0,CHONFCMC_01806,KGGMHOKE_00133,JPPLDLFD_00202
group_888,,hypothetical protein,3,3,1.0,14,88,,,,945,945,945.0,CHONFCMC_01800,KGGMHOKE_00126,JPPLDLFD_00208
luxS,luxS,S-ribosylhomocysteine lyase,3,3,1.0,14,86,,,,477,477,477.0,CHONFCMC_01770,KGGMHOKE_00090,JPPLDLFD_00242
group_886,,hypothetical protein,3,3,1.0,14,85,,,,723,723,723.0,CHONFCMC_01753,KGGMHOKE_00365,JPPLDLFD_00627
yoaB_1,;yoaB_1,Calcium-transporting ATPase 1,3,5,1.6666666666666667,14,82,,,,471,2685,1620.6,CHONFCMC_01748;CHONFCMC_01747,KGGMHOKE_00370;KGGMHOKE_00371,JPPLDLFD_00632
dinG_2,dinG_2,3'-5' exonuclease DinG,3,3,1.0,14,80,,,,963,963,963.0,CHONFCMC_01784,KGGMHOKE_00111,JPPLDLFD_00223
group_883,,hypothetical protein,3,4,1.3333333333333333,14,78,,,,90,1011,729.75,CHONFCMC_01805,KGGMHOKE_00131;KGGMHOKE_00132,JPPLDLFD_00203
group_881,,hypothetical protein,3,3,1.0,14,76,,,,738,738,738.0,CHONFCMC_01773,KGGMHOKE_00093,JPPLDLFD_00239
bceA,bceA,Bacitracin export ATP-binding protein BceA,3,3,1.0,14,75,,,,747,747,747.0,CHONFCMC_01738,KGGMHOKE_00354,JPPLDLFD_00643
pepDA_3,pepDA_3,Dipeptidase A,3,3,1.0,14,74,,,,1434,1434,1434.0,CHONFCMC_01788,KGGMHOKE_00115,JPPLDLFD_00219
tcyP,tcyP,L-cystine uptake protein TcyP,3,3,1.0,14,72,,,,1443,1443,1443.0,CHONFCMC_01772,KGGMHOKE_00092,JPPLDLFD_00240
group_879,ycaM_4,Inner membrane transporter YcaM,3,3,1.0,14,71,,,,1443,1443,1443.0,CHONFCMC_01737,KGGMHOKE_00353,JPPLDLFD_00644
pepT_1~~~pepT_2,pepT_1;pepT_2,Peptidase T,3,3,1.0,14,69,,,,1278,1278,1278.0,CHONFCMC_01780,KGGMHOKE_00107,JPPLDLFD_00227
paiA,paiA,Spermidine/spermine N(1)-acetyltransferase,3,3,1.0,14,68,,,,522,525,524.0,CHONFCMC_01797,KGGMHOKE_00123,JPPLDLFD_00211
bglH_4,bglH_4,Aryl-phospho-beta-D-glucosidase BglH,3,3,1.0,14,67,,,,1476,1476,1476.0,CHONFCMC_01763,KGGMHOKE_00084,JPPLDLFD_01040
exoA_2,exoA_2,Exodeoxyribonuclease,3,3,1.0,14,66,,,,765,765,765.0,CHONFCMC_01743,KGGMHOKE_00375,JPPLDLFD_00638
group_877,,hypothetical protein,3,3,1.0,14,64,,,,771,771,771.0,CHONFCMC_01778,KGGMHOKE_00097,JPPLDLFD_00229
group_875,,hypothetical protein,3,3,1.0,14,61,,,,345,444,378.0,CHONFCMC_01742,KGGMHOKE_00376,JPPLDLFD_00639
group_874,,hypothetical protein,3,4,1.3333333333333333,14,60,,,,159,843,627.0,CHONFCMC_01807,KGGMHOKE_00134,JPPLDLFD_00201;JPPLDLFD_00200
group_873,,hypothetical protein,3,3,1.0,14,58,,,,789,789,789.0,CHONFCMC_01808,KGGMHOKE_00135,JPPLDLFD_00199
group_872,,hypothetical protein,3,3,1.0,14,57,,,,555,555,555.0,CHONFCMC_01810,KGGMHOKE_00137,JPPLDLFD_00197
group_871,,Putative phosphatase,3,3,1.0,14,56,,,,804,804,804.0,CHONFCMC_01803,KGGMHOKE_00129,JPPLDLFD_00205
sugC,sugC,Trehalose import ATP-binding protein SugC,3,3,1.0,14,53,,,,1086,1086,1086.0,CHONFCMC_01789,KGGMHOKE_00116,JPPLDLFD_00218
group_869,,Protein ADP-ribosyltransferase,3,3,1.0,14,51,,,,810,810,810.0,CHONFCMC_01783,KGGMHOKE_00110,JPPLDLFD_00224
group_868,,hypothetical protein,3,3,1.0,14,50,,,,564,564,564.0,CHONFCMC_01801,KGGMHOKE_00127,JPPLDLFD_00207
group_866,ybbH_2,putative HTH-type transcriptional regulator YbbH,3,3,1.0,14,48,,,,819,819,819.0,CHONFCMC_01746,KGGMHOKE_00372,JPPLDLFD_00635
efp_2,efp_2,Elongation factor P,3,3,1.0,14,47,,,,573,573,573.0,CHONFCMC_01759,KGGMHOKE_00359,JPPLDLFD_00621
group_865,,hypothetical protein,3,3,1.0,14,46,,,,573,573,573.0,CHONFCMC_01757,KGGMHOKE_00361,JPPLDLFD_00623
dkgB,dkgB,25-diketo-D-gluconic acid reductase B,3,3,1.0,14,45,,,,825,825,825.0,CHONFCMC_01786,KGGMHOKE_00113,JPPLDLFD_00221
group_864,,hypothetical protein,3,3,1.0,14,44,,,,1125,1125,1125.0,CHONFCMC_01785,KGGMHOKE_00112,JPPLDLFD_00222
licT_4~~~licT_1,licT_4;licT_1,Transcription antiterminator LicT,3,3,1.0,14,43,,,,780,843,822.0,CHONFCMC_01761,KGGMHOKE_00082,JPPLDLFD_01042
oppA_3~~~oppA_4,oppA_3;oppA_4,Oligopeptide-binding protein OppA,3,3,1.0,14,42,,,,1755,1764,1758.0,CHONFCMC_01766,KGGMHOKE_00087,JPPLDLFD_01035
araQ,araQ,Arabinooligosaccharides transport system permease protein AraQ,3,3,1.0,14,41,,,,831,831,831.0,CHONFCMC_01791,KGGMHOKE_00118,JPPLDLFD_00216
group_863,,hypothetical protein,3,3,1.0,14,40,,,,303,765,457.0,CHONFCMC_01774,KGGMHOKE_00094,JPPLDLFD_00232
group_862,,hypothetical protein,3,5,1.6666666666666667,14,39,,,,201,1104,673.2,CHONFCMC_01765,KGGMHOKE_00086,JPPLDLFD_01036;JPPLDLFD_01037;JPPLDLFD_01038
group_861,,hypothetical protein,3,3,1.0,14,38,,,,600,600,600.0,CHONFCMC_01809,KGGMHOKE_00136,JPPLDLFD_00198
yxdM,yxdM,ABC transporter permease protein YxdM,3,3,1.0,14,37,,,,1869,1869,1869.0,CHONFCMC_01739,KGGMHOKE_00355,JPPLDLFD_00642
mscL,mscL,Large-conductance mechanosensitive channel,3,3,1.0,14,36,,,,378,378,378.0,CHONFCMC_01775,KGGMHOKE_00095,JPPLDLFD_00231
group_859,,hypothetical protein,3,3,1.0,14,34,,,,369,369,369.0,CHONFCMC_01795,KGGMHOKE_00121,JPPLDLFD_00213
group_858,,hypothetical protein,3,3,1.0,14,33,,,,849,849,849.0,CHONFCMC_01787,KGGMHOKE_00114,JPPLDLFD_00220
group_857,,hypothetical protein,3,3,1.0,14,32,,,,1188,1188,1188.0,0_refound_1,KGGMHOKE_00366,2_refound_9
coaA,coaA,Pantothenate kinase,3,3,1.0,14,31,,,,852,852,852.0,CHONFCMC_01758,KGGMHOKE_00360,JPPLDLFD_00622
bglF_4,bglF_4,PTS system beta-glucoside-specific EIIBCA component,3,3,1.0,14,30,,,,2019,2019,2019.0,CHONFCMC_01762,KGGMHOKE_00083,JPPLDLFD_01041
group_856,,hypothetical protein,3,3,1.0,14,29,,,,636,636,636.0,CHONFCMC_01782,KGGMHOKE_00109,JPPLDLFD_00225
ptsG,ptsG,PTS system glucose-specific EIICBA component,3,3,1.0,14,28,,,,2076,2076,2076.0,CHONFCMC_01744,KGGMHOKE_00374,JPPLDLFD_00637
bca,;bca,hypothetical protein;C protein alpha-antigen,3,7,2.3333333333333335,14,27,,,,204,7224,2057.1428571428573,CHONFCMC_01760,KGGMHOKE_00080;KGGMHOKE_00358;KGGMHOKE_00081;KGGMHOKE_00356;KGGMHOKE_00357,JPPLDLFD_01043
group_855,,hypothetical protein,3,3,1.0,14,26,,,,396,396,396.0,CHONFCMC_01768,KGGMHOKE_00089,JPPLDLFD_01032
group_854,,hypothetical protein,3,3,1.0,14,25,,,,645,645,645.0,CHONFCMC_01750,KGGMHOKE_00368,JPPLDLFD_00630
lacF_3,lacF_3,Lactose transport system permease protein LacF,3,3,1.0,14,24,,,,864,864,864.0,CHONFCMC_01790,KGGMHOKE_00117,JPPLDLFD_00217
helD,helD,DNA helicase IV,3,3,1.0,14,22,,,,2295,2295,2295.0,CHONFCMC_01751,KGGMHOKE_00367,JPPLDLFD_00629
gpmA_5,gpmA_5,23-bisphosphoglycerate-dependent phosphoglycerate mutase,3,3,1.0,14,21,,,,651,651,651.0,CHONFCMC_01740,KGGMHOKE_00378,JPPLDLFD_00641
group_852,,hypothetical protein,3,3,1.0,14,20,,,,216,216,216.0,CHONFCMC_01741,KGGMHOKE_00377,JPPLDLFD_00640
group_851,,hypothetical protein,3,3,1.0,14,19,,,,183,183,183.0,CHONFCMC_01749,KGGMHOKE_00369,JPPLDLFD_00631
group_850,,hypothetical protein,3,4,1.3333333333333333,14,18,,,,753,5019,3770.25,CHONFCMC_01777;CHONFCMC_01776,KGGMHOKE_00096,JPPLDLFD_00230
group_849,,hypothetical protein,3,3,1.0,14,17,,,,657,657,657.0,CHONFCMC_01755,KGGMHOKE_00363,JPPLDLFD_00625
group_848,,hypothetical protein,3,3,1.0,14,16,,,,684,684,684.0,CHONFCMC_01804,KGGMHOKE_00130,JPPLDLFD_00204
group_847,,hypothetical protein,3,3,1.0,14,15,,,,3663,3696,3679.0,CHONFCMC_01802,KGGMHOKE_00128,JPPLDLFD_00206
uvrA_3,uvrA_3,UvrABC system protein A,3,3,1.0,14,14,,,,2514,2514,2514.0,CHONFCMC_01767,KGGMHOKE_00088,JPPLDLFD_01033
rnj,rnj,Ribonuclease J,3,3,1.0,14,13,,,,1302,1302,1302.0,CHONFCMC_01792,KGGMHOKE_00119,JPPLDLFD_00215
group_846,,Acetyltransferase,3,3,1.0,14,12,,,,441,441,441.0,CHONFCMC_01798,KGGMHOKE_00124,JPPLDLFD_00210
serS,serS,Serine--tRNA ligase,3,3,1.0,14,11,,,,1311,1311,1311.0,CHONFCMC_01811,KGGMHOKE_00138,JPPLDLFD_00196
group_845,,hypothetical protein,3,3,1.0,14,10,,,,684,684,684.0,CHONFCMC_01754,KGGMHOKE_00364,JPPLDLFD_00626
group_844,,hypothetical protein,3,4,1.3333333333333333,14,9,,,,312,1305,975.0,CHONFCMC_01793;CHONFCMC_01794,KGGMHOKE_00120,JPPLDLFD_00214
licC_4,licC_4,Lichenan permease IIC component,3,3,1.0,14,8,,,,1323,1323,1323.0,CHONFCMC_01756,KGGMHOKE_00362,JPPLDLFD_00624
group_843,,hypothetical protein,3,3,1.0,14,7,,,,450,450,450.0,CHONFCMC_01781,KGGMHOKE_00108,JPPLDLFD_00226
nanE,nanE,Putative N-acetylmannosamine-6-phosphate 2-epimerase,3,3,1.0,14,6,,,,693,693,693.0,CHONFCMC_01745,KGGMHOKE_00373,JPPLDLFD_00636
metE,metE;,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase;hypothetical protein,3,3,1.0,14,3,,,,1101,1101,1101.0,CHONFCMC_01771,KGGMHOKE_00091,JPPLDLFD_00241
murK,murK,N-acetylmuramic acid/N-acetylglucosamine kinase,3,3,1.0,14,2,,,,924,924,924.0,CHONFCMC_01799,KGGMHOKE_00125,JPPLDLFD_00209
yicL_2~~~yicL_1,yicL_2;yicL_1,putative inner membrane transporter YicL,3,3,1.0,14,1,,,,930,930,930.0,CHONFCMC_01764,KGGMHOKE_00085,JPPLDLFD_01039
nrdF1,nrdF1,Ribonucleoside-diphosphate reductase subunit beta nrdF1,3,3,1.0,13,21,,,,780,945,890.0,CHONFCMC_01728,KGGMHOKE_00339,JPPLDLFD_01444
group_840,,hypothetical protein,3,3,1.0,13,20,,,,240,873,662.0,CHONFCMC_01717,KGGMHOKE_00328,JPPLDLFD_01455
mazF,mazF,Endoribonuclease toxin MazF,3,3,1.0,13,19,,,,342,342,342.0,CHONFCMC_01726,KGGMHOKE_00337,JPPLDLFD_01446
tagU_2,tagU_2,Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU,3,3,1.0,13,18,,,,1125,1125,1125.0,CHONFCMC_01719,KGGMHOKE_00330,JPPLDLFD_01453
group_839,,hypothetical protein,3,3,1.0,13,17,,,,291,291,291.0,CHONFCMC_01732,KGGMHOKE_00343,JPPLDLFD_01440
group_838,,hypothetical protein,3,3,1.0,13,16,,,,1530,1530,1530.0,CHONFCMC_01731,KGGMHOKE_00342,JPPLDLFD_01441
pepF,pepF,Oligopeptidase PepF,3,3,1.0,13,15,,,,1812,1812,1812.0,CHONFCMC_01718,KGGMHOKE_00329,JPPLDLFD_01454
yjjB,yjjB,succinate transporter subunit YjjB,3,3,1.0,13,14,,,,471,471,471.0,CHONFCMC_01724,KGGMHOKE_00335,JPPLDLFD_01448
group_837,,hypothetical protein,3,3,1.0,13,13,,,,783,783,783.0,CHONFCMC_01723,KGGMHOKE_00334,JPPLDLFD_01449
yheS,yheS,putative ATP-binding protein YheS,3,3,1.0,13,12,,,,1548,1548,1548.0,CHONFCMC_01722,KGGMHOKE_00333,JPPLDLFD_01450
group_836,,hypothetical protein,3,3,1.0,13,11,,,,252,252,252.0,CHONFCMC_01725,KGGMHOKE_00336,JPPLDLFD_01447
hflX,hflX,GTPase HflX,3,3,1.0,13,10,,,,1281,1281,1281.0,CHONFCMC_01736,KGGMHOKE_00348,JPPLDLFD_01435
nrdI,nrdI,Protein NrdI,3,3,1.0,13,9,,,,357,462,427.0,CHONFCMC_01729,KGGMHOKE_00340,JPPLDLFD_01443
group_835,,hypothetical protein,3,3,1.0,13,8,,,,492,492,492.0,CHONFCMC_01727,KGGMHOKE_00338,JPPLDLFD_01445
gmk_2,gmk_2,Guanylate kinase,3,3,1.0,13,7,,,,558,558,558.0,CHONFCMC_01733,KGGMHOKE_00344,JPPLDLFD_01439
group_834,,hypothetical protein,3,3,1.0,13,6,,,,1104,1164,1144.0,CHONFCMC_01734,KGGMHOKE_00346,JPPLDLFD_01437
group_833,,hypothetical protein,3,3,1.0,13,5,,,,270,270,270.0,CHONFCMC_01720,KGGMHOKE_00331,JPPLDLFD_01452
group_832,,hypothetical protein,3,3,1.0,13,4,,,,627,627,627.0,CHONFCMC_01730,KGGMHOKE_00341,JPPLDLFD_01442
group_831,,hypothetical protein,3,3,1.0,13,3,,,,135,135,135.0,0_refound_0,KGGMHOKE_00345,JPPLDLFD_01438
