Gene,Non-unique Gene name,Annotation,max_pident,max_aln_len,n_hits,qlen,max_cov
group_684,,hypothetical protein,0.0,0,0,,0.0
group_637,,hypothetical protein,0.0,0,0,,0.0
group_632,,hypothetical protein,0.0,0,0,,0.0
group_564,,hypothetical protein,0.0,0,0,,0.0
group_547,,hypothetical protein,0.0,0,0,,0.0
asp2,asp2,Accessory Sec system protein Asp2,0.0,0,0,,0.0
secY_1,secY_1,Protein translocase subunit SecY,0.0,0,0,,0.0
gtfB_3~~~gtfB_2,gtfB_3;gtfB_2,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase stabilizing protein GtfB,0.0,0,0,,0.0
asp1,asp1;,Accessory Sec system protein Asp1;hypothetical protein,0.0,0,0,,0.0
group_535,,hypothetical protein,0.0,0,0,,0.0
group_533,,hypothetical protein,0.0,0,0,,0.0
gtfA_2~~~gtfA_1~~~gtfA,gtfA_2;gtfA_1;gtfA,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit,0.0,0,0,,0.0
gtf3,gtf3,N-acetylglucosaminyltransferase,0.0,0,0,,0.0
galE_1~~~galE,galE_1;galE,UDP-glucose 4-epimerase,0.0,0,0,,0.0
glyE_1,glyE_1,Glycosyltransferase GlyE,0.0,0,0,,0.0
ampR~~~hdfR_3~~~gltC,ampR;hdfR_3;gltC;,HTH-type transcriptional activator AmpR;HTH-type transcriptional regulator HdfR;Transcriptional dual regulator GltC;hypothetical protein,0.0,0,0,,0.0
group_307,,hypothetical protein,0.0,0,0,,0.0
group_278,,hypothetical protein,0.0,0,0,,0.0
group_274,,hypothetical protein,0.0,0,0,,0.0
group_266,,hypothetical protein,0.0,0,0,,0.0
arcD~~~aaxC_2~~~aaxC_1~~~aaxC,arcD;aaxC_2;aaxC_1;aaxC,Arginine/ornithine antiporter;Arginine/agmatine antiporter,0.0,0,0,,0.0
group_138,,hypothetical protein,0.0,0,0,,0.0
group_207,,hypothetical protein,67.655,371,4,1116.0,0.332
cbh_1,cbh_1,Bile salt hydrolase/transferase,68.523,991,6,981.0,1.01
group_717,,hypothetical protein,71.226,212,2,291.0,0.729
gtfB_1~~~gtfB_2,gtfB_1;gtfB_2,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase stabilizing protein GtfB,71.429,427,8,2019.0,0.211
group_299,,hypothetical protein,71.429,658,8,1308.0,0.503
group_343,,hypothetical protein,71.429,819,2,831.0,0.986
ade,ade,Adenine deaminase,72.4,1721,1,1701.0,1.012
group_322,,hypothetical protein,73.077,390,5,396.0,0.985
psd_1,psd_1,Phosphatidylserine decarboxylase proenzyme,73.466,554,2,1287.0,0.43
glyG,glyG,Glycosyltransferase GlyG,73.75,80,3,885.0,0.09
group_217,,hypothetical protein,74.359,833,8,1248.0,0.667
psd_2,psd_2,Phosphatidylserine decarboxylase proenzyme,74.41,551,2,1287.0,0.428
lacA_1~~~ganA,lacA_1;ganA,Beta-galactosidase GalA;Beta-galactosidase GanA,75.0,140,4,2043.0,0.069
spuD,spuD,Putrescine-binding periplasmic protein SpuD,75.05,1010,1,1050.0,0.962
group_363,,hypothetical protein,75.111,225,4,798.0,0.282
glyE_2,glyE_2,Glycosyltransferase GlyE,75.472,106,3,1218.0,0.087
secA_2,secA_2,Protein translocase subunit SecA,75.524,553,20,2367.0,0.234
group_685,,hypothetical protein,75.8,719,2,717.0,1.003
uup_3~~~uup_7,uup_3;uup_7,ATP-binding protein Uup,76.19,624,8,870.0,0.717
potI,potI,Putrescine transport system permease protein PotI,76.471,782,1,789.0,0.991
group_264,,hypothetical protein,76.522,243,6,606.0,0.401
group_334,,hypothetical protein,77.602,442,2,453.0,0.976
group_336,,hypothetical protein,77.658,837,2,837.0,1.0
group_313,,hypothetical protein,77.826,230,5,237.0,0.97
uvrA_1,uvrA_1,UvrABC system protein A,78.301,2487,30,2511.0,0.99
group_665,,hypothetical protein,78.652,89,2,192.0,0.464
group_546,,hypothetical protein,79.391,723,6,723.0,1.0
fetA_2,fetA_2,putative iron export ATP-binding protein FetA,79.531,640,10,642.0,0.997
group_631,,hypothetical protein,79.576,519,2,519.0,1.0
group_543,,hypothetical protein,81.905,210,2,210.0,1.0
mrr,mrr,Type IV methyl-directed restriction enzyme EcoKMrr,82.0,441,3,942.0,0.468
group_326,,hypothetical protein,82.353,612,2,822.0,0.745
patB,patB;,Cystathionine beta-lyase PatB;hypothetical protein,82.426,1072,10,1170.0,0.916
group_357,,hypothetical protein,83.394,819,2,819.0,1.0
group_740,,hypothetical protein,83.609,726,2,726.0,1.0
group_268,,hypothetical protein,83.658,924,11,924.0,1.0
group_311,,hypothetical protein,83.951,405,2,855.0,0.474
comA_2,comA_2,Transport/processing ATP-binding protein ComA,84.0,2159,29,2160.0,1.0
pdxK,pdxK,Pyridoxine/pyridoxal/pyridoxamine kinase,84.094,855,6,858.0,0.997
group_790,,hypothetical protein,84.521,1221,4,1221.0,1.0
ytrA,ytrA,HTH-type transcriptional repressor YtrA,84.824,369,9,369.0,1.0
group_218,,hypothetical protein,85.0,467,16,795.0,0.587
group_681,,hypothetical protein,85.005,1087,2,1086.0,1.001
group_611,,hypothetical protein,85.027,1122,15,1122.0,1.0
rsuA,rsuA,Ribosomal small subunit pseudouridine synthase A,85.043,702,30,702.0,1.0
group_675,,hypothetical protein,85.219,663,6,663.0,1.0
xylB,xylB,Xylulose kinase,85.232,1510,6,1509.0,1.001
group_16,,hypothetical protein,85.261,442,9,441.0,1.002
group_432,,hypothetical protein,85.683,461,2,462.0,0.998
yajO,;yajO,hypothetical protein;1-deoxyxylulose-5-phosphate synthase YajO,85.685,482,2,477.0,1.01
group_602,,hypothetical protein,85.766,548,4,546.0,1.004
group_605,,hypothetical protein,85.844,551,2,561.0,0.982
group_256,,hypothetical protein,85.897,541,12,720.0,0.751
alsS,alsS,Acetolactate synthase,85.965,114,2,1680.0,0.068
group_599,,hypothetical protein,85.965,399,5,399.0,1.0
group_291,,hypothetical protein,86.0,376,9,1278.0,0.294
gatC_4,gatC_4,PTS system galactitol-specific EIIC component,86.026,1455,5,1455.0,1.0
group_279,,GTP cyclohydrolase 1 type 2,86.216,802,11,798.0,1.005
drrA1,drrA1,Daunorubicin resistance ATP-binding protein DrrA1,86.486,119,30,852.0,0.14
group_553,,ISL3 family transposase ISLjo2,86.538,223,14,225.0,0.991
group_316,,hypothetical protein,86.715,414,2,414.0,1.0
group_270,,hypothetical protein,86.911,573,9,573.0,1.0
artJ,artJ,ABC transporter arginine-binding protein 1,87.037,756,6,756.0,1.0
group_862,,hypothetical protein,87.138,1104,5,1104.0,1.0
dfrA,dfrA,Dihydrofolate reductase,87.255,510,2,510.0,1.0
add,add,Adenosine deaminase,87.401,1008,6,1008.0,1.0
group_340,,hypothetical protein,87.456,845,9,846.0,0.999
aldC,aldC,Alpha-acetolactate decarboxylase,87.5,56,2,717.0,0.078
group_135,,hypothetical protein,87.619,210,6,210.0,1.0
group_362,,hypothetical protein,87.745,816,2,804.0,1.015
garK~~~glxK,garK;glxK,Glycerate 2-kinase;Glycerate 3-kinase,87.755,1127,12,1158.0,0.973
group_520,,hypothetical protein,87.763,523,2,549.0,0.953
nth_2,nth_2,Endonuclease III,87.786,655,2,651.0,1.006
lacX_2,lacX_2,Protein LacX plasmid,87.868,883,2,882.0,1.001
pbpX_1,pbpX_1,Putative penicillin-binding protein PbpX,87.988,1022,7,1041.0,0.982
yagU,yagU,Inner membrane protein YagU,88.016,509,2,510.0,0.998
trmK,trmK,tRNA (adenine(22)-N(1))-methyltransferase,88.047,686,11,684.0,1.003
group_321,,(R)-mandelonitrile lyase,88.164,414,11,414.0,1.0
msrA~~~msrA2,msrA;msrA2,Peptide methionine sulfoxide reductase MsrA;Peptide methionine sulfoxide reductase MsrA 2,88.172,558,11,558.0,1.0
ogt_2~~~ogt,ogt_2;ogt,Methylated-DNA--protein-cysteine methyltransferase,88.27,509,3,510.0,0.998
glsA2,glsA2,Glutaminase 2,88.491,921,4,921.0,1.0
group_211,,hypothetical protein,88.496,1104,2,1104.0,1.0
cydC,cydC,Glutathione/L-cysteine transport system ATP-binding/permease protein CydC,88.545,1746,10,1746.0,1.0
potA_1,potA_1,Spermidine/putrescine import ATP-binding protein PotA,88.571,722,48,1044.0,0.692
group_380,,Multidrug efflux system ATP-binding protein,88.636,708,13,708.0,1.0
group_305,,D-ribitol-5-phosphate phosphatase,88.667,600,6,600.0,1.0
group_284,,hypothetical protein,88.671,1377,11,1377.0,1.0
cbh_2,cbh_2,Bile salt hydrolase/transferase,88.753,978,6,978.0,1.0
group_8,,hypothetical protein,88.801,1134,2,1134.0,1.0
tagF,tagF,Teichoic acid poly(glycerol phosphate) polymerase,88.86,1149,11,1149.0,1.0
brnQ_3~~~brnQ_2~~~brnQ_1,brnQ_3;brnQ_2;brnQ_1,Branched-chain amino acid permease BrnQ,88.881,1367,13,1368.0,0.999
brpA,brpA,Biofilm regulatory protein A,88.919,1110,12,1110.0,1.0
group_5,,hypothetical protein,88.959,317,2,318.0,0.997
group_36,,hypothetical protein,89.006,2283,11,2283.0,1.0
group_302,,Aldo-keto reductase/MSMEI_2347,89.041,876,8,876.0,1.0
pyrC,pyrC,Dihydroorotase,89.045,1282,6,1278.0,1.003
eis,eis,N-acetyltransferase Eis,89.089,1164,10,1164.0,1.0
prmA,prmA,Ribosomal protein L11 methyltransferase,89.135,951,11,948.0,1.003
group_11,,hypothetical protein,89.146,995,7,996.0,0.999
cutC,cutC,PF03932 family protein CutC,89.147,645,2,645.0,1.0
group_724,,hypothetical protein,89.149,2949,10,2949.0,1.0
group_243,,hypothetical protein,89.189,111,2,111.0,1.0
deoD,deoD,Purine nucleoside phosphorylase DeoD-type,89.189,766,22,765.0,1.001
group_743,,hypothetical protein,89.189,111,2,108.0,1.028
group_655,,hypothetical protein,89.209,278,2,276.0,1.007
thrB_1,thrB_1,Homoserine kinase,89.236,864,6,864.0,1.0
group_294,,hypothetical protein,89.3,729,4,729.0,1.0
dacA,dacA,D-alanyl-D-alanine carboxypeptidase DacA,89.323,946,13,954.0,0.992
fetB~~~fetB_2~~~fetB_1,fetB;fetB_2;fetB_1,putative iron export permease protein FetB,89.418,759,6,759.0,1.0
group_358,,hypothetical protein,89.499,819,18,819.0,1.0
