candidate,pair,product_size,L_on_target_genomes,L_off_target_genomes,L_off_target_species,R_on_target_genomes,R_off_target_genomes,R_off_target_species,expected_genomes,pass
Lactobacillus_crispatus__group_1386,0,92,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_1386,1,93,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_1386,2,94,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_1386,3,93,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_1386,4,94,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_220,0,109,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_220,1,109,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_220,2,110,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_220,3,110,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_220,4,111,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_509,0,81,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_509,1,82,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_509,2,114,4,0,,4,7,"Lactobacillus_gasseri,Lactobacillus_jensenii,Lactobacillus_mulieris",4,False
Lactobacillus_crispatus__group_509,3,81,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_509,4,80,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_623,0,119,4,6,"Lactobacillus_gasseri,Lactobacillus_mulieris,Lactobacillus_paragasseri",4,0,,4,False
Lactobacillus_crispatus__group_623,1,102,4,0,,4,0,,4,True
Lactobacillus_crispatus__group_623,2,87,4,4,"Lactobacillus_gasseri,Lactobacillus_paragasseri",4,6,"Lactobacillus_gasseri,Lactobacillus_mulieris,Lactobacillus_paragasseri",4,False
Lactobacillus_crispatus__group_623,3,104,4,4,"Lactobacillus_gasseri,Lactobacillus_paragasseri",4,0,,4,False
Lactobacillus_crispatus__group_623,4,134,4,0,,4,0,,4,True
Lactobacillus_crispatus__rcsC,0,138,4,0,,4,0,,4,True
Lactobacillus_crispatus__rcsC,1,103,4,0,,4,0,,4,True
Lactobacillus_crispatus__rcsC,2,114,4,0,,4,2,Lactobacillus_mulieris,4,False
Lactobacillus_crispatus__rcsC,3,107,4,0,,4,0,,4,True
Lactobacillus_crispatus__rcsC,4,132,4,0,,4,0,,4,True
Lactobacillus_gasseri__group_112,0,80,2,1,Lactobacillus_jensenii,2,0,,2,False
Lactobacillus_gasseri__group_112,1,80,2,1,Lactobacillus_jensenii,2,0,,2,False
Lactobacillus_gasseri__group_112,2,113,2,0,,2,3,Lactobacillus_crispatus,2,False
Lactobacillus_gasseri__group_112,3,123,2,0,,2,0,,2,True
Lactobacillus_gasseri__group_112,4,126,2,0,,2,0,,2,True
Lactobacillus_gasseri__group_263,0,130,2,0,,2,0,,2,True
Lactobacillus_gasseri__group_263,1,129,2,0,,2,0,,2,True
Lactobacillus_gasseri__group_263,2,105,2,3,Lactobacillus_paragasseri,2,0,,2,False
Lactobacillus_gasseri__group_263,3,129,2,0,,2,0,,2,True
Lactobacillus_gasseri__group_263,4,131,2,0,,2,0,,2,True
Lactobacillus_gasseri__group_97,0,130,2,0,,2,0,,2,True
Lactobacillus_gasseri__group_97,1,131,2,0,,2,0,,2,True
Lactobacillus_gasseri__group_97,2,131,2,0,,2,0,,2,True
Lactobacillus_gasseri__group_97,3,130,2,0,,2,0,,2,True
Lactobacillus_gasseri__group_97,4,131,2,0,,2,0,,2,True
Lactobacillus_jensenii__adhT,0,85,3,0,,3,0,,3,True
Lactobacillus_jensenii__adhT,1,130,3,0,,3,0,,3,True
Lactobacillus_jensenii__adhT,2,88,3,0,,3,0,,3,True
Lactobacillus_jensenii__adhT,3,84,3,0,,3,0,,3,True
Lactobacillus_jensenii__adhT,4,132,3,0,,3,0,,3,True
Lactobacillus_jensenii__bfrA,0,84,3,0,,3,0,,3,True
Lactobacillus_jensenii__bfrA,1,85,3,0,,3,0,,3,True
Lactobacillus_jensenii__bfrA,2,85,3,0,,3,0,,3,True
Lactobacillus_jensenii__bfrA,3,87,3,0,,3,0,,3,True
Lactobacillus_jensenii__bfrA,4,85,3,0,,3,0,,3,True
Lactobacillus_jensenii__efpA,0,80,3,6,"Lactobacillus_crispatus,Lactobacillus_gasseri",3,0,,3,False
Lactobacillus_jensenii__efpA,1,81,3,6,"Lactobacillus_crispatus,Lactobacillus_gasseri",3,0,,3,False
Lactobacillus_jensenii__efpA,2,85,3,6,"Lactobacillus_crispatus,Lactobacillus_gasseri",3,5,"Lactobacillus_gasseri,Lactobacillus_paragasseri",3,False
Lactobacillus_jensenii__efpA,3,100,3,1,Lactobacillus_paragasseri,3,0,,3,False
Lactobacillus_jensenii__efpA,4,101,3,1,Lactobacillus_paragasseri,3,0,,3,False
Lactobacillus_jensenii__group_214,0,102,3,0,,3,0,,3,True
Lactobacillus_jensenii__group_214,1,95,3,0,,3,0,,3,True
Lactobacillus_jensenii__group_214,2,101,3,0,,3,0,,3,True
Lactobacillus_jensenii__group_214,3,103,3,0,,3,0,,3,True
Lactobacillus_jensenii__group_214,4,104,3,0,,3,0,,3,True
