Gene,Non-unique Gene name,Annotation,max_pident,max_aln_len,n_hits,qlen,max_cov
group_531,,hypothetical protein,0.0,0,0,,0.0
group_503,,hypothetical protein,0.0,0,0,,0.0
group_492,,hypothetical protein,0.0,0,0,,0.0
group_454,,hypothetical protein,0.0,0,0,,0.0
group_453,,hypothetical protein,0.0,0,0,,0.0
group_435,,hypothetical protein,0.0,0,0,,0.0
group_434,,hypothetical protein,0.0,0,0,,0.0
group_377,,hypothetical protein,0.0,0,0,,0.0
group_367,,hypothetical protein,0.0,0,0,,0.0
group_362,,hypothetical protein,0.0,0,0,,0.0
ywnA_1,ywnA_1,Putative HTH-type transcriptional regulator YwnA,0.0,0,0,,0.0
bfrA,bfrA,Beta-fructosidase,0.0,0,0,,0.0
group_214,,hypothetical protein,0.0,0,0,,0.0
efpA,efpA,putative MFS-type transporter EfpA,0.0,0,0,,0.0
ytcP,ytcP,Polygalacturonan/rhamnogalacturonan transport system permease protein YtcP,0.0,0,0,,0.0
group_207,,hypothetical protein,0.0,0,0,,0.0
adhT,adhT,Alcohol dehydrogenase,0.0,0,0,,0.0
group_103,,hypothetical protein,0.0,0,0,,0.0
group_83,,hypothetical protein,0.0,0,0,,0.0
group_354,,hypothetical protein,64.663,416,1,702.0,0.593
lctD_2,lctD_2,Lactate dehydrogenase (NAD(+)ferredoxin) subunit LctD,65.285,193,3,1392.0,0.139
mutS2_2~~~mutSB_1~~~mutS2~~~mutS2_1,mutS2_2;mutSB_1;mutS2;mutS2_1,Endonuclease MutS2;Putative endonuclease MutS2,65.608,927,9,1887.0,0.491
group_306,,hypothetical protein,67.2,888,7,891.0,0.997
group_466,,hypothetical protein,67.456,2535,1,2664.0,0.952
group_396,,hypothetical protein,67.63,745,2,870.0,0.856
murJ_1,murJ_1,lipid II flippase MurJ,67.76,884,1,1440.0,0.614
cysL,cysL,HTH-type transcriptional regulator CysL,68.245,701,2,894.0,0.784
pbuE_1,pbuE_1,Purine efflux pump PbuE,68.984,536,4,1212.0,0.442
