Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_mulieris__UMB0007B__GCA_026184155.1,Lactobacillus_mulieris__UMB7783B__GCA_030228195.1
tcyA,tcyA;,L-cystine-binding protein TcyA;putative amino-acid ABC transporter-binding protein,2,2,1.0,108,1,,,,300,792,546.0,OCAFGGHM_00424,GPENAHNM_00823
group_566,,hypothetical protein,2,2,1.0,107,1,,,,3492,6033,4762.5,OCAFGGHM_00832,GPENAHNM_00406
yjeM_2~~~yjeM_3,yjeM_2;yjeM_3,Inner membrane transporter YjeM,2,3,1.5,106,1,,,,714,1470,989.0,OCAFGGHM_01456,GPENAHNM_00831;GPENAHNM_00830
group_565,,hypothetical protein,2,2,1.0,105,1,,,,627,873,750.0,OCAFGGHM_00671,GPENAHNM_00763
group_564,,hypothetical protein,2,2,1.0,104,1,,,,189,189,189.0,OCAFGGHM_00782,GPENAHNM_01300
dfrA,dfrA,Dihydrofolate reductase,2,2,1.0,101,1,,,,504,504,504.0,0_refound_2,GPENAHNM_01038
pbp2a,pbp2a,Penicillin-binding protein 2a,2,2,1.0,96,1,,,,2058,2058,2058.0,0_refound_1,GPENAHNM_00693
group_558,,hypothetical protein,2,2,1.0,95,1,,,,354,354,354.0,0_refound_0,GPENAHNM_00687
group_551,,hypothetical protein,2,2,1.0,90,1,,,,999,999,999.0,OCAFGGHM_01764,GPENAHNM_01146
group_550,,hypothetical protein,2,2,1.0,89,2,,,,573,573,573.0,OCAFGGHM_01763,GPENAHNM_01540
greA_2,greA_2,Transcription elongation factor GreA,2,2,1.0,89,1,,,,462,462,462.0,OCAFGGHM_01762,GPENAHNM_01539
group_549,,hypothetical protein,2,2,1.0,88,2,,,,957,969,963.0,OCAFGGHM_01751,GPENAHNM_00789
rpmGA_2,rpmGA_2,Large ribosomal subunit protein bL33A,2,2,1.0,88,1,,,,153,153,153.0,OCAFGGHM_01752,GPENAHNM_00788
group_548,,hypothetical protein,2,2,1.0,87,3,,,,279,279,279.0,OCAFGGHM_01739,GPENAHNM_01351
group_547,,hypothetical protein,2,2,1.0,87,2,,,,168,168,168.0,OCAFGGHM_01738,GPENAHNM_01350
group_546,,hypothetical protein,2,2,1.0,87,1,,,,261,261,261.0,OCAFGGHM_01740,GPENAHNM_01352
group_545,,hypothetical protein,2,2,1.0,86,1,,,,279,279,279.0,OCAFGGHM_01728,GPENAHNM_00832
group_544,,hypothetical protein,2,2,1.0,85,2,,,,1143,1503,1323.0,OCAFGGHM_01724,GPENAHNM_00915
group_543,,hypothetical protein,2,2,1.0,85,1,,,,369,369,369.0,OCAFGGHM_01723,GPENAHNM_00916
ltaS2_2~~~ltaS1,ltaS2_2;ltaS1,Lipoteichoic acid synthase 2;Lipoteichoic acid synthase 1,2,2,1.0,84,2,,,,696,2076,1386.0,OCAFGGHM_01714,GPENAHNM_00575
murC,murC,UDP-N-acetylmuramate--L-alanine ligase,2,2,1.0,84,1,,,,1308,1308,1308.0,OCAFGGHM_01715,GPENAHNM_00574
group_542,,hypothetical protein,2,2,1.0,83,3,,,,504,504,504.0,OCAFGGHM_01712,GPENAHNM_01252
licT_2,licT_2,Transcription antiterminator LicT,2,2,1.0,83,2,,,,879,879,879.0,OCAFGGHM_01713,GPENAHNM_01251
group_541,,hypothetical protein,2,2,1.0,83,1,,,,825,825,825.0,OCAFGGHM_01711,GPENAHNM_01253
dps,dps,DNA protection during starvation protein,2,2,1.0,82,4,,,,468,468,468.0,OCAFGGHM_01704,GPENAHNM_00911
group_540,,hypothetical protein,2,2,1.0,82,3,,,,201,666,433.5,OCAFGGHM_01702,GPENAHNM_00913
group_539,,hypothetical protein,2,2,1.0,82,2,,,,981,981,981.0,OCAFGGHM_01703,GPENAHNM_00912
group_538,,hypothetical protein,2,2,1.0,82,1,,,,246,246,246.0,OCAFGGHM_01705,GPENAHNM_00910
manZ_3,manZ_3,PTS system mannose-specific EIID component,2,2,1.0,81,4,,,,918,918,918.0,OCAFGGHM_01700,GPENAHNM_00721
group_537,,hypothetical protein,2,2,1.0,81,3,,,,357,357,357.0,OCAFGGHM_01701,GPENAHNM_00722
manX_2,manX_2,PTS system mannose-specific EIIAB component,2,2,1.0,81,2,,,,993,993,993.0,OCAFGGHM_01698,GPENAHNM_00719
sorA_2,sorA_2,PTS system sorbose-specific EIIC component,2,2,1.0,81,1,,,,798,798,798.0,OCAFGGHM_01699,GPENAHNM_00720
purR_2~~~purR_1,purR_2;purR_1,HTH-type transcriptional repressor PurR,2,2,1.0,80,3,,,,978,978,978.0,OCAFGGHM_01696,GPENAHNM_00373
vprA_2,vprA_2,Vinyl phenol reductase,2,2,1.0,80,2,,,,801,1467,1134.0,OCAFGGHM_01697,GPENAHNM_00374
degA_4,degA_4,HTH-type transcriptional regulator DegA,2,2,1.0,80,1,,,,1014,1014,1014.0,OCAFGGHM_01695,GPENAHNM_00372
recX,recX,Regulatory protein RecX,2,2,1.0,79,5,,,,510,816,663.0,OCAFGGHM_01692,GPENAHNM_00467
group_536,,hypothetical protein,2,2,1.0,79,4,,,,477,477,477.0,OCAFGGHM_01691,GPENAHNM_00468
group_535,,hypothetical protein,2,2,1.0,79,3,,,,462,462,462.0,OCAFGGHM_01690,GPENAHNM_00469
prfC,prfC,Peptide chain release factor 3,2,2,1.0,79,2,,,,1572,1572,1572.0,OCAFGGHM_01688,GPENAHNM_00471
