Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_crispatus__UMB0803__GCA_002861765.1,Lactobacillus_crispatus__UMB6887__GCA_030216545.1,Lactobacillus_crispatus__UMB7805__GCA_030226265.1,Lactobacillus_crispatus__UMB8929B__GCA_030230695.1
group_1387,,hypothetical protein,4,4,1.0,171,5,,,,372,372,372.0,HJHFJAOG_01298,MLMIAKCI_00138,AOHABJFI_00004,LCPJMJGF_00200
group_1386,,hypothetical protein,4,4,1.0,171,4,,,,2316,2316,2316.0,HJHFJAOG_01299,MLMIAKCI_00139,AOHABJFI_00005,LCPJMJGF_00201
group_1385,,hypothetical protein,4,4,1.0,171,3,,,,381,720,465.75,HJHFJAOG_01295,MLMIAKCI_00135,AOHABJFI_00001,LCPJMJGF_00197
group_1384,,hypothetical protein,4,4,1.0,171,2,,,,147,240,216.75,HJHFJAOG_01296,MLMIAKCI_00136,AOHABJFI_00002,LCPJMJGF_00198
group_1383,,hypothetical protein,4,4,1.0,171,1,,,,567,570,567.75,HJHFJAOG_01297,MLMIAKCI_00137,AOHABJFI_00003,LCPJMJGF_00199
group_1381,,hypothetical protein,4,4,1.0,169,1,,,,258,348,280.5,HJHFJAOG_01584,MLMIAKCI_00796,AOHABJFI_00698,LCPJMJGF_01408
group_1363,,hypothetical protein,4,4,1.0,159,1,,,,360,360,360.0,0_refound_5,1_refound_18,2_refound_32,LCPJMJGF_00833
group_1107,,hypothetical protein,4,4,1.0,122,4,,,,903,933,925.5,HJHFJAOG_02060,MLMIAKCI_00284,AOHABJFI_00089,LCPJMJGF_00135
group_1106,,hypothetical protein,4,4,1.0,122,3,,,,735,735,735.0,HJHFJAOG_02062,MLMIAKCI_00282,AOHABJFI_00091,LCPJMJGF_00133
group_1105,,hypothetical protein,4,6,1.5,122,2,,,,252,966,644.0,HJHFJAOG_02059,MLMIAKCI_00285,AOHABJFI_00088;AOHABJFI_00087,LCPJMJGF_00137;LCPJMJGF_00136
group_1104,,hypothetical protein,4,4,1.0,122,1,,,,297,297,297.0,HJHFJAOG_02061,MLMIAKCI_00283,AOHABJFI_00090,LCPJMJGF_00134
pyrR_2,pyrR_2,Bifunctional protein pyrR,4,4,1.0,121,4,,,,528,528,528.0,HJHFJAOG_02052,MLMIAKCI_00197,AOHABJFI_00029,LCPJMJGF_00080
pyrP,pyrP,Uracil permease,4,4,1.0,121,3,,,,1332,1332,1332.0,HJHFJAOG_02053,MLMIAKCI_00196,AOHABJFI_00030,LCPJMJGF_00081
mdtP_3,mdtP_3,Multidrug transporter protein MdtP,4,4,1.0,121,2,,,,1470,1470,1470.0,HJHFJAOG_02051,MLMIAKCI_00198,AOHABJFI_00028,LCPJMJGF_00079
group_1103,,hypothetical protein,4,4,1.0,121,1,,,,165,165,165.0,HJHFJAOG_02054,MLMIAKCI_00195,AOHABJFI_00031,LCPJMJGF_00082
group_1102,,hypothetical protein,4,4,1.0,120,4,,,,1119,1119,1119.0,HJHFJAOG_02049,MLMIAKCI_00211,AOHABJFI_00034,LCPJMJGF_00108
group_1101,,hypothetical protein,4,4,1.0,120,3,,,,489,489,489.0,HJHFJAOG_02047,MLMIAKCI_00209,AOHABJFI_00032,LCPJMJGF_00106
citG,citG,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,4,4,1.0,120,2,,,,819,819,819.0,HJHFJAOG_02050,MLMIAKCI_00212,AOHABJFI_00035,LCPJMJGF_00109
group_1100,,hypothetical protein,4,4,1.0,120,1,,,,1110,1110,1110.0,HJHFJAOG_02048,MLMIAKCI_00210,AOHABJFI_00033,LCPJMJGF_00107
group_1099,,hypothetical protein,4,4,1.0,119,5,,,,1740,1740,1740.0,HJHFJAOG_00240,MLMIAKCI_00041,AOHABJFI_00298,LCPJMJGF_00093
group_1097,,hypothetical protein,4,4,1.0,119,3,,,,624,624,624.0,HJHFJAOG_02045,MLMIAKCI_00043,AOHABJFI_00016,LCPJMJGF_00091
brnQ_1~~~brnQ,brnQ_1;brnQ,Branched-chain amino acid permease BrnQ,4,4,1.0,119,1,,,,1377,1377,1377.0,HJHFJAOG_02046,MLMIAKCI_00042,AOHABJFI_00017,LCPJMJGF_00092
