Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_gasseri__UMB1399__GCA_007826985.2,Lactobacillus_gasseri__UMB6735__GCA_030216645.1
group_824,,hypothetical protein,2,2,1.0,41,1,,,,3027,4254,3640.5,DLKHCADP_01444,FKLDPHGP_01674
group_823,,hypothetical protein,2,2,1.0,40,1,,,,1224,1224,1224.0,0_refound_5,FKLDPHGP_01224
ecfA2,ecfA2,Energy-coupling factor transporter ATP-binding protein EcfA2,2,2,1.0,39,1,,,,867,867,867.0,0_refound_4,FKLDPHGP_01060
ftsL_3,ftsL_3,Cell division protein FtsL,2,2,1.0,38,1,,,,378,378,378.0,0_refound_3,FKLDPHGP_01013
walK,walK,Sensor histidine kinase WalK,2,2,1.0,37,1,,,,1851,1851,1851.0,0_refound_2,FKLDPHGP_00805
prfA,prfA,Peptide chain release factor 1,2,2,1.0,36,1,,,,1089,1089,1089.0,0_refound_1,FKLDPHGP_00722
uvrB_2,uvrB_2,UvrABC system protein B,2,2,1.0,34,30,,,,2016,2016,2016.0,DLKHCADP_01798,FKLDPHGP_00794
polC_2,polC_2,DNA polymerase III PolC-type,2,2,1.0,34,29,,,,534,534,534.0,DLKHCADP_01823,FKLDPHGP_00769
smpB,smpB,SsrA-binding protein,2,2,1.0,34,28,,,,456,456,456.0,DLKHCADP_01814,FKLDPHGP_00778
tpiA,tpiA,Triosephosphate isomerase,2,2,1.0,34,27,,,,756,756,756.0,DLKHCADP_01810,FKLDPHGP_00782
group_821,,hypothetical protein,2,2,1.0,34,26,,,,540,540,540.0,DLKHCADP_01800,FKLDPHGP_00792
pta,pta,Phosphate acetyltransferase,2,2,1.0,34,25,,,,978,978,978.0,DLKHCADP_01821,FKLDPHGP_00771
galM,galM,Aldose 1-epimerase,2,2,1.0,34,24,,,,987,987,987.0,DLKHCADP_01796,FKLDPHGP_00796
pgcA,pgcA,Phosphoglucomutase,2,2,1.0,34,23,,,,1725,1725,1725.0,DLKHCADP_01797,FKLDPHGP_00795
ung,ung,Uracil-DNA glycosylase,2,2,1.0,34,22,,,,696,696,696.0,DLKHCADP_01820,FKLDPHGP_00772
rnr,rnr,Ribonuclease R,2,2,1.0,34,21,,,,2340,2340,2340.0,DLKHCADP_01813,FKLDPHGP_00779
tsaE,tsaE,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,2,2,1.0,34,20,,,,477,477,477.0,DLKHCADP_01822,FKLDPHGP_00770
eno2_2,eno2_2,Enolase 2,2,2,1.0,34,19,,,,1299,1299,1299.0,DLKHCADP_01811,FKLDPHGP_00781
lacR_2,lacR_2,HTH-type transcriptional regulator LacR,2,2,1.0,34,18,,,,1002,1002,1002.0,DLKHCADP_01793,FKLDPHGP_00799
ycaM_3,ycaM_3,Inner membrane transporter YcaM,2,2,1.0,34,17,,,,1449,1449,1449.0,DLKHCADP_01805,FKLDPHGP_00787
group_820,,hypothetical protein,2,2,1.0,34,16,,,,570,570,570.0,DLKHCADP_01817,FKLDPHGP_00775
gap,gap,Glyceraldehyde-3-phosphate dehydrogenase,2,2,1.0,34,15,,,,1017,1017,1017.0,DLKHCADP_01808,FKLDPHGP_00784
galK_2,galK_2,Galactokinase,2,2,1.0,34,14,,,,1170,1170,1170.0,DLKHCADP_01794,FKLDPHGP_00798
galT,galT,Galactose-1-phosphate uridylyltransferase,2,2,1.0,34,13,,,,1470,1470,1470.0,DLKHCADP_01795,FKLDPHGP_00797
rimI_2,rimI_2,[Ribosomal protein bS18]-alanine N-acetyltransferase,2,2,1.0,34,12,,,,570,570,570.0,DLKHCADP_01815,FKLDPHGP_00777
uvrA_2,uvrA_2,UvrABC system protein A,2,2,1.0,34,11,,,,2862,2862,2862.0,DLKHCADP_01799,FKLDPHGP_00793
group_819,,hypothetical protein,2,2,1.0,34,10,,,,135,135,135.0,DLKHCADP_01816,FKLDPHGP_00776
group_818,,hypothetical protein,2,2,1.0,34,9,,,,516,516,516.0,DLKHCADP_01818,FKLDPHGP_00774
cggR,cggR,Central glycolytic genes regulator,2,2,1.0,34,8,,,,1032,1032,1032.0,DLKHCADP_01807,FKLDPHGP_00785
group_817,,Putative gluconeogenesis factor,2,2,1.0,34,7,,,,1038,1038,1038.0,DLKHCADP_01802,FKLDPHGP_00790
ywpJ,ywpJ,Phosphatase YwpJ,2,2,1.0,34,6,,,,861,861,861.0,DLKHCADP_01819,FKLDPHGP_00773
secG,secG,putative protein-export membrane protein SecG,2,2,1.0,34,5,,,,234,234,234.0,DLKHCADP_01812,FKLDPHGP_00780
clpP_3,clpP_3,ATP-dependent Clp protease proteolytic subunit,2,2,1.0,34,4,,,,588,588,588.0,DLKHCADP_01804,FKLDPHGP_00788
pgk,pgk,Phosphoglycerate kinase,2,2,1.0,34,3,,,,1212,1212,1212.0,DLKHCADP_01809,FKLDPHGP_00783
whiA,whiA,putative cell division protein WhiA,2,2,1.0,34,2,,,,942,942,942.0,DLKHCADP_01803,FKLDPHGP_00789
yvcJ,yvcJ,Nucleotide-binding protein YvcJ,2,2,1.0,34,1,,,,876,876,876.0,DLKHCADP_01801,FKLDPHGP_00791
walR,walR,Transcriptional regulatory protein WalR,2,2,1.0,33,1,,,,708,708,708.0,DLKHCADP_01750,FKLDPHGP_00804
ybiV_2,ybiV_2,Sugar phosphatase YbiV,2,2,1.0,32,1,,,,789,789,789.0,DLKHCADP_01590,FKLDPHGP_00083
rapA,rapA,RNA polymerase-associated protein RapA,2,2,1.0,31,1,,,,2745,2745,2745.0,DLKHCADP_01582,FKLDPHGP_00370
hslO,hslO,33 kDa chaperonin,2,2,1.0,30,1,,,,876,876,876.0,DLKHCADP_01581,FKLDPHGP_01018
xerC_5,xerC_5,Tyrosine recombinase XerC,2,2,1.0,29,4,,,,969,969,969.0,DLKHCADP_01576,FKLDPHGP_00374
hsdS,hsdS,Type I restriction enzyme EcoR124I/EcoR124II specificity subunit,2,2,1.0,29,3,,,,1086,1092,1089.0,DLKHCADP_01575,FKLDPHGP_00375
group_816,,hypothetical protein,2,2,1.0,29,2,,,,444,1191,817.5,DLKHCADP_01577,FKLDPHGP_00373
hsdM,hsdM,Type I restriction enzymeP methylase subunit,2,2,1.0,29,1,,,,1515,1515,1515.0,DLKHCADP_01578,FKLDPHGP_00372
group_815,,hypothetical protein,2,2,1.0,28,1,,,,390,390,390.0,DLKHCADP_01568,FKLDPHGP_00879
spxH,spxH,ClpXP adapter protein SpxH,2,2,1.0,27,39,,,,606,606,606.0,DLKHCADP_01551,FKLDPHGP_01314
hprK,hprK,HPr kinase/phosphorylase,2,2,1.0,27,38,,,,960,960,960.0,DLKHCADP_01523,FKLDPHGP_01342
recA,recA,Protein RecA,2,2,1.0,27,37,,,,1095,1095,1095.0,DLKHCADP_01533,FKLDPHGP_01332
rny,rny,Ribonuclease Y,2,2,1.0,27,36,,,,1623,1623,1623.0,DLKHCADP_01532,FKLDPHGP_01333
group_814,,hypothetical protein,2,2,1.0,27,35,,,,1236,1236,1236.0,DLKHCADP_01537,FKLDPHGP_01328
group_813,,hypothetical protein,2,2,1.0,27,34,,,,183,183,183.0,DLKHCADP_01557,FKLDPHGP_01308
clpE_2,clpE_2,ATP-dependent Clp protease ATP-binding subunit ClpE,2,2,1.0,27,33,,,,2169,2169,2169.0,DLKHCADP_01558,FKLDPHGP_01307
spx,spx,Global transcriptional regulator Spx,2,2,1.0,27,32,,,,402,402,402.0,DLKHCADP_01554,FKLDPHGP_01311
hpf,hpf,Ribosome hibernation promotion factor,2,2,1.0,27,31,,,,546,546,546.0,DLKHCADP_01527,FKLDPHGP_01338
comFA,comFA,Competence protein ComFA,2,2,1.0,27,30,,,,1269,1269,1269.0,DLKHCADP_01529,FKLDPHGP_01336
group_812,,hypothetical protein,2,2,1.0,27,29,,,,624,624,624.0,DLKHCADP_01550,FKLDPHGP_01315
ptsH,ptsH,Phosphocarrier protein HPr,2,2,1.0,27,28,,,,267,267,267.0,DLKHCADP_01556,FKLDPHGP_01309
yjbM,yjbM,GTP pyrophosphokinase YjbM,2,2,1.0,27,27,,,,627,627,627.0,DLKHCADP_01549,FKLDPHGP_01316
lgt,lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,2,2,1.0,27,26,,,,837,837,837.0,DLKHCADP_01522,FKLDPHGP_01343
ptsI,ptsI,Phosphoenolpyruvate-protein phosphotransferase,2,2,1.0,27,25,,,,1740,1740,1740.0,DLKHCADP_01555,FKLDPHGP_01310
rluD_2,rluD_2,Ribosomal large subunit pseudouridine synthase D,2,2,1.0,27,24,,,,900,900,900.0,DLKHCADP_01547,FKLDPHGP_01318
tagO,tagO,putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase,2,2,1.0,27,23,,,,1143,1143,1143.0,DLKHCADP_01531,FKLDPHGP_01334
secA,secA,Protein translocase subunit SecA,2,2,1.0,27,22,,,,2400,2400,2400.0,DLKHCADP_01526,FKLDPHGP_01339
prfB,prfB,Peptide chain release factor 2,2,2,1.0,27,21,,,,999,999,999.0,DLKHCADP_01525,FKLDPHGP_01340
cspR,cspR,Putative tRNA (cytidine(34)-2'-O)-methyltransferase,2,2,1.0,27,20,,,,558,558,558.0,DLKHCADP_01541,FKLDPHGP_01324
spoIIIE,spoIIIE,DNA translocase SpoIIIE,2,2,1.0,27,19,,,,2424,2424,2424.0,DLKHCADP_01539,FKLDPHGP_01326
group_811,,hypothetical protein,2,2,1.0,27,18,,,,279,279,279.0,DLKHCADP_01524,FKLDPHGP_01341
sph,sph,Oleate hydratase,2,2,1.0,27,17,,,,1776,1776,1776.0,DLKHCADP_01546,FKLDPHGP_01319
pgsA,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,2,2,1.0,27,16,,,,564,564,564.0,DLKHCADP_01534,FKLDPHGP_01331
gpsA,gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+],2,2,1.0,27,15,,,,1020,1020,1020.0,DLKHCADP_01521,FKLDPHGP_01344
pgl,pgl,6-phosphogluconolactonase,2,2,1.0,27,14,,,,1023,1023,1023.0,DLKHCADP_01544,FKLDPHGP_01321
group_810,,Putative transport protein,2,2,1.0,27,13,,,,1182,1182,1182.0,DLKHCADP_01542,FKLDPHGP_01323
group_809,,hypothetical protein,2,2,1.0,27,12,,,,435,435,435.0,DLKHCADP_01540,FKLDPHGP_01325
group_808,,hypothetical protein,2,2,1.0,27,11,,,,1023,1023,1023.0,DLKHCADP_01535,FKLDPHGP_01330
mecA,mecA,Adapter protein MecA 1,2,2,1.0,27,10,,,,654,654,654.0,DLKHCADP_01553,FKLDPHGP_01312
nadK,nadK,NAD kinase,2,2,1.0,27,9,,,,804,804,804.0,DLKHCADP_01548,FKLDPHGP_01317
fabG,fabG,3-oxoacyl-[acyl-carrier-protein] reductase FabG,2,2,1.0,27,8,,,,729,729,729.0,DLKHCADP_01536,FKLDPHGP_01329
trxB,trxB,Thioredoxin reductase,2,2,1.0,27,7,,,,936,936,936.0,DLKHCADP_01520,FKLDPHGP_01345
group_807,,hypothetical protein,2,2,1.0,27,6,,,,1212,1212,1212.0,DLKHCADP_01545,FKLDPHGP_01320
group_806,,hypothetical protein,2,2,1.0,27,5,,,,381,381,381.0,DLKHCADP_01543,FKLDPHGP_01322
group_805,,hypothetical protein,2,2,1.0,27,4,,,,1215,1215,1215.0,DLKHCADP_01538,FKLDPHGP_01327
yigZ,yigZ,IMPACT family member YigZ,2,2,1.0,27,3,,,,666,666,666.0,DLKHCADP_01530,FKLDPHGP_01335
group_804,,hypothetical protein,2,2,1.0,27,2,,,,864,885,874.5,DLKHCADP_01552,FKLDPHGP_01313
comFC,comFC,Competence protein ComFC,2,2,1.0,27,1,,,,672,672,672.0,DLKHCADP_01528,FKLDPHGP_01337
cpoA,cpoA,Alpha-galactosylglucosyldiacylglycerol synthase,2,2,1.0,26,3,,,,1044,1044,1044.0,DLKHCADP_01451,FKLDPHGP_00003
ltaS1,ltaS1,Lipoteichoic acid synthase 1,2,2,1.0,26,2,,,,2070,2070,2070.0,DLKHCADP_01453,FKLDPHGP_00001
group_803,,hypothetical protein,2,2,1.0,26,1,,,,1017,1017,1017.0,DLKHCADP_01452,FKLDPHGP_00002
group_802,,hypothetical protein,2,2,1.0,25,1,,,,771,771,771.0,DLKHCADP_01450,FKLDPHGP_01673
group_801,,hypothetical protein,2,2,1.0,24,3,,,,546,546,546.0,DLKHCADP_01443,FKLDPHGP_01768
group_800,,hypothetical protein,2,2,1.0,24,2,,,,426,426,426.0,DLKHCADP_01442,FKLDPHGP_01769
adhE,adhE,Aldehyde-alcohol dehydrogenase,2,2,1.0,24,1,,,,2610,2610,2610.0,DLKHCADP_01441,FKLDPHGP_01770
group_799,,hypothetical protein,2,2,1.0,23,3,,,,1899,1899,1899.0,DLKHCADP_01438,FKLDPHGP_01767
group_798,,hypothetical protein,2,2,1.0,23,2,,,,1335,1335,1335.0,DLKHCADP_01439,FKLDPHGP_01766
srmB,srmB,ATP-dependent RNA helicase SrmB,2,2,1.0,23,1,,,,2223,2223,2223.0,DLKHCADP_01440,FKLDPHGP_01765
farB,;farB,hypothetical protein;Fatty acid resistance protein FarB,2,3,1.5,22,7,,,,231,1395,938.0,DLKHCADP_01431;DLKHCADP_01574,FKLDPHGP_01248
murC,murC,UDP-N-acetylmuramate--L-alanine ligase,2,2,1.0,22,6,,,,1314,1314,1314.0,DLKHCADP_01427,FKLDPHGP_01244
cutC,cutC,PF03932 family protein CutC,2,2,1.0,22,5,,,,645,645,645.0,DLKHCADP_01426,FKLDPHGP_01243
group_797,,hypothetical protein,2,2,1.0,22,4,,,,111,111,111.0,DLKHCADP_01429,FKLDPHGP_01246
licC_3~~~licC_2,licC_3;licC_2,Lichenan permease IIC component,2,2,1.0,22,3,,,,1287,1314,1300.5,DLKHCADP_01425,FKLDPHGP_01242
group_796,,hypothetical protein,2,2,1.0,22,2,,,,423,423,423.0,DLKHCADP_01430,FKLDPHGP_01247
gmuR_3,gmuR_3,HTH-type transcriptional regulator GmuR,2,2,1.0,22,1,,,,450,450,450.0,DLKHCADP_01428,FKLDPHGP_01245
recX,recX,Regulatory protein RecX,2,2,1.0,21,60,,,,816,816,816.0,DLKHCADP_01482,FKLDPHGP_01300
uup_7,uup_7,ATP-binding protein Uup,2,2,1.0,21,59,,,,954,954,954.0,DLKHCADP_01387,FKLDPHGP_01259
group_795,,hypothetical protein,2,2,1.0,21,58,,,,180,180,180.0,DLKHCADP_01493,FKLDPHGP_01289
mltG,mltG,Endolytic murein transglycosylase,2,2,1.0,21,57,,,,1095,1095,1095.0,DLKHCADP_01502,FKLDPHGP_01280
mvaA,mvaA,3-hydroxy-3-methylglutaryl-coenzyme A reductase,2,2,1.0,21,56,,,,1236,1236,1236.0,DLKHCADP_01485,FKLDPHGP_01297
pbpA,pbpA,Penicillin-binding protein 2A,2,2,1.0,21,55,,,,2100,2100,2100.0,DLKHCADP_01499,FKLDPHGP_01283
rlmCD,rlmCD,23S rRNA (uracil-C(5))-methyltransferase RlmCD,2,2,1.0,21,54,,,,1389,1389,1389.0,DLKHCADP_01483,FKLDPHGP_01299
glpE,glpE,Thiosulfate sulfurtransferase GlpE,2,2,1.0,21,53,,,,399,399,399.0,DLKHCADP_01494,FKLDPHGP_01288
yqeH,yqeH,putative protein YqeH,2,2,1.0,21,52,,,,1110,1110,1110.0,DLKHCADP_01516,FKLDPHGP_01266
group_794,,hypothetical protein,2,2,1.0,21,51,,,,462,462,462.0,DLKHCADP_01479,FKLDPHGP_01303
