Gene,Non-unique Gene name,Annotation,max_pident,max_aln_len,n_hits,qlen,max_cov
rapA,rapA,RNA polymerase-associated protein RapA,0.0,0,0,,0.0
xerC_5,xerC_5,Tyrosine recombinase XerC,0.0,0,0,,0.0
hsdS,hsdS,Type I restriction enzyme EcoR124I/EcoR124II specificity subunit,0.0,0,0,,0.0
group_816,,hypothetical protein,0.0,0,0,,0.0
hsdM,hsdM,Type I restriction enzymeP methylase subunit,0.0,0,0,,0.0
group_663,,hypothetical protein,0.0,0,0,,0.0
group_654,,hypothetical protein,0.0,0,0,,0.0
yagU_2,yagU_2,Inner membrane protein YagU,0.0,0,0,,0.0
group_263,,hypothetical protein,0.0,0,0,,0.0
smc_2,smc_2,Chromosome partition protein Smc,0.0,0,0,,0.0
group_210,,hypothetical protein,0.0,0,0,,0.0
group_112,,hypothetical protein,0.0,0,0,,0.0
group_97,,hypothetical protein,0.0,0,0,,0.0
gltC,gltC,Transcriptional dual regulator GltC,0.0,0,0,,0.0
group_37,,hypothetical protein,0.0,0,0,,0.0
group_25,,hypothetical protein,0.0,0,0,,0.0
group_227,,hypothetical protein,71.226,212,3,303.0,0.7
group_14,,hypothetical protein,73.78,164,1,198.0,0.828
group_202,,hypothetical protein,76.912,719,3,717.0,1.003
group_77,,hypothetical protein,77.778,837,3,837.0,1.0
group_228,,hypothetical protein,78.652,89,3,282.0,0.316
group_174,,hypothetical protein,78.947,133,3,276.0,0.482
group_120,,hypothetical protein,79.31,87,1,522.0,0.167
group_765,,hypothetical protein,79.391,723,7,723.0,1.0
group_586,,hypothetical protein,79.576,519,3,519.0,1.0
thi4,thi4,Thiamine thiazole synthase,80.0,55,1,1797.0,0.031
group_408,,hypothetical protein,80.392,51,4,1089.0,0.047
group_213,,hypothetical protein,80.392,177,7,408.0,0.434
group_771,,hypothetical protein,81.905,210,3,210.0,1.0
group_15,,hypothetical protein,81.928,166,2,198.0,0.838
group_24,,hypothetical protein,83.226,155,1,159.0,0.975
smc_3,smc_3,Chromosome partition protein Smc,83.333,54,5,1431.0,0.038
group_690,,hypothetical protein,83.478,230,8,228.0,1.009
group_80,,hypothetical protein,83.516,819,3,819.0,1.0
group_414,,hypothetical protein,83.658,924,13,924.0,1.0
mngR,mngR,Mannosyl-D-glycerate transport/metabolism system repressor MngR,83.884,726,3,726.0,1.0
group_661,,hypothetical protein,84.314,1122,14,1122.0,1.0
group_705,,IS3 family transposase ISEnfa5,84.507,709,15,708.0,1.001
pdxK,pdxK,Pyridoxine/pyridoxal/pyridoxamine kinase,84.615,832,7,828.0,1.005
ytrA,ytrA,HTH-type transcriptional repressor YtrA,85.095,369,9,369.0,1.0
group_91,,hypothetical protein,85.185,730,4,729.0,1.001
group_130,,hypothetical protein,85.203,419,10,480.0,0.873
group_479,,hypothetical protein,85.261,443,10,441.0,1.005
deoD,deoD,Purine nucleoside phosphorylase DeoD-type,85.509,766,17,765.0,1.001
rluB_2,rluB_2,Ribosomal large subunit pseudouridine synthase B,85.755,702,21,702.0,1.0
group_133,,hypothetical protein,85.841,461,3,462.0,0.998
group_166,,hypothetical protein,86.0,301,3,300.0,1.003
group_85,,hypothetical protein,86.047,812,2,810.0,1.002
group_1,,(R)-mandelonitrile lyase,86.404,231,9,237.0,0.975
group_216,,hypothetical protein,86.878,663,12,663.0,1.0
group_33,,hypothetical protein,86.885,161,4,150.0,1.073
group_556,,hypothetical protein,87.151,1192,3,1173.0,1.016
artJ,artJ,ABC transporter arginine-binding protein 1,87.247,792,7,792.0,1.0
dfrA,dfrA,Dihydrofolate reductase,87.379,522,11,516.0,1.012
add1,add1,Adenosine deaminase 1,87.475,998,7,1002.0,0.996
group_46,,hypothetical protein,87.562,603,3,603.0,1.0
yajO,yajO,1-deoxyxylulose-5-phosphate synthase YajO,87.593,404,3,534.0,0.757
group_341,,hypothetical protein,87.619,210,7,210.0,1.0
group_422,,hypothetical protein,87.745,816,3,807.0,1.011
nth_2,nth_2,Endonuclease III,87.786,655,3,651.0,1.006
group_194,,hypothetical protein,87.859,453,3,453.0,1.0
lacX_2~~~lacX_1,lacX_2;lacX_1;,Protein LacX plasmid;hypothetical protein,87.982,882,3,882.0,1.0
msrA,msrA,Peptide methionine sulfoxide reductase MsrA,87.993,558,12,558.0,1.0
group_44,,hypothetical protein,88.0,2742,33,3237.0,0.847
trmK,trmK,tRNA (adenine(22)-N(1))-methyltransferase,88.047,686,12,684.0,1.003
group_453,,hypothetical protein,88.057,573,10,561.0,1.021
ogt,ogt,Methylated-DNA--protein-cysteine methyltransferase constitutive,88.072,503,6,519.0,0.969
group_680,,hypothetical protein,88.077,520,3,525.0,0.99
sorB_2,sorB_2,PTS system sorbose-specific EIIB component,88.081,495,4,495.0,1.0
group_824,,hypothetical protein,88.095,4297,24,4254.0,1.01
group_394,,hypothetical protein,88.166,172,4,174.0,0.989
group_2,,hypothetical protein,88.235,85,4,237.0,0.359
group_162,,hypothetical protein,88.235,316,4,327.0,0.966
pbpX_2~~~pbpX_1,pbpX_2;pbpX_1,Putative penicillin-binding protein PbpX,88.258,1022,7,1038.0,0.985
group_622,,hypothetical protein,88.288,333,5,333.0,1.0
group_47,,hypothetical protein,88.301,624,12,624.0,1.0
yagU_1,yagU_1,Inner membrane protein YagU,88.317,509,3,510.0,0.998
scaC,scaC,Manganese import ATP-binding protein ScaC,88.418,708,15,708.0,1.0
group_55,,hypothetical protein,88.496,1104,3,1104.0,1.0
cbh,cbh,Bile salt hydrolase/transferase,88.753,978,10,978.0,1.0
group_49,,hypothetical protein,88.849,846,9,834.0,1.014
group_16,,hypothetical protein,88.918,2285,21,2283.0,1.001
group_625,,hypothetical protein,88.977,1134,3,1134.0,1.0
group_233,,hypothetical protein,88.983,236,3,252.0,0.937
group_230,,hypothetical protein,89.015,264,3,264.0,1.0
group_667,,hypothetical protein,89.055,201,1,288.0,0.698
brpA,brpA,Biofilm regulatory protein A,89.099,1110,15,1110.0,1.0
cydC,cydC,Glutathione/L-cysteine transport system ATP-binding/permease protein CydC,89.118,1746,14,1746.0,1.0
cutC,cutC,PF03932 family protein CutC,89.147,645,3,645.0,1.0
group_499,,hypothetical protein,89.17,383,3,381.0,1.005
group_692,,hypothetical protein,89.186,786,2,786.0,1.0
group_81,,hypothetical protein,89.255,819,13,819.0,1.0
group_178,,hypothetical protein,89.272,261,7,261.0,1.0
group_433,,hypothetical protein,89.3,730,5,723.0,1.01
group_655,,hypothetical protein,89.352,648,7,648.0,1.0
group_71,,Aldo-keto reductase/MSMEI_2347,89.384,876,10,876.0,1.0
fetB,fetB,putative iron export permease protein FetB,89.418,756,9,762.0,0.992
eis,eis,N-acetyltransferase Eis,89.433,1164,11,1161.0,1.003
pyrC,pyrC,Dihydroorotase,89.437,1280,7,1278.0,1.002
group_186,,hypothetical protein,89.454,2950,11,2949.0,1.0
thrB,thrB,Homoserine kinase,89.468,864,7,864.0,1.0
group_76,,hypothetical protein,89.48,846,2,846.0,1.0
fetA,fetA,putative iron export ATP-binding protein FetA,89.515,639,9,639.0,1.0
group_43,,hypothetical protein,89.695,1737,4,1731.0,1.003
group_476,,Flavodoxin,89.709,447,12,447.0,1.0
dacA,dacA,D-alanyl-D-alanine carboxypeptidase DacA,89.763,928,15,927.0,1.001
group_45,,hypothetical protein,89.826,747,3,747.0,1.0
menH_1,menH_1,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase,89.831,944,16,945.0,0.999
group_146,,hypothetical protein,89.899,396,2,399.0,0.992
rutB,;rutB,hypothetical protein;Ureidoacrylate amidohydrolase RutB,89.907,547,10,546.0,1.002
group_390,,hypothetical protein,89.947,852,21,852.0,1.0
group_481,,hypothetical protein,89.954,438,8,438.0,1.0
comA,comA,Transport/processing ATP-binding protein ComA,89.962,1584,65,1584.0,1.0
yidA_3~~~yidA_1,yidA_3;yidA_1,Sugar phosphatase YidA,89.963,807,13,807.0,1.0
ctpE,ctpE,Calcium-transporting ATPase CtpE,89.979,2425,12,2427.0,0.999
group_109,,D-ribitol-5-phosphate phosphatase,90.0,600,9,600.0,1.0
uvrB_1,uvrB_1,UvrABC system protein B,90.018,2845,16,2844.0,1.0
group_597,,hypothetical protein,90.056,885,8,888.0,0.997
group_398,,hypothetical protein,90.098,1325,11,1323.0,1.002
thrC,thrC,Threonine synthase,90.121,1488,7,1488.0,1.0
vmlR,vmlR,Ribosome protection protein VmlR,90.179,1529,18,1506.0,1.015
recD2,recD2,ATP-dependent RecD2 DNA helicase,90.248,2379,18,2379.0,1.0
group_86,,GTP cyclohydrolase 1 type 2,90.351,800,12,798.0,1.003
group_262,,hypothetical protein,90.385,624,3,624.0,1.0
clcA_1,clcA_1,H(+)/Cl(-) exchange transporter ClcA,90.452,1372,9,1374.0,0.999
mvaA,mvaA,3-hydroxy-3-methylglutaryl-coenzyme A reductase,90.453,1236,12,1236.0,1.0
group_807,,hypothetical protein,90.48,1208,12,1212.0,0.997
group_40,,hypothetical protein,90.504,1034,7,1032.0,1.002
group_9,,hypothetical protein,90.521,211,4,210.0,1.005
pnbA,;pnbA,hypothetical protein;4-nitrobenzoate reductase,90.541,666,14,666.0,1.0
group_804,,hypothetical protein,90.568,880,15,885.0,0.994
rnhB,rnhB,Ribonuclease HII,90.571,753,12,753.0,1.0
thiN,thiN,Thiamine pyrophosphokinase,90.583,669,12,669.0,1.0
group_643,,hypothetical protein,90.588,429,22,399.0,1.075
group_387,,hypothetical protein,90.594,404,8,411.0,0.983
agaA_2,agaA_2,Alpha-galactosidase AgaA,90.636,2234,11,2232.0,1.001
group_790,,hypothetical protein,90.659,2580,29,2580.0,1.0
group_209,,hypothetical protein,90.667,300,1,414.0,0.725
rppH,;rppH,hypothetical protein;RNA pyrophosphohydrolase,90.676,429,11,429.0,1.0
tcrA,tcrA,Transcriptional regulatory protein TcrA,90.691,666,20,666.0,1.0
group_738,,Acetyltransferase,90.703,441,7,441.0,1.0
tadA_1,tadA_1,tRNA-specific adenosine deaminase,90.728,453,13,453.0,1.0
group_758,,hypothetical protein,90.728,151,3,150.0,1.007
group_588,,hypothetical protein,90.741,648,3,648.0,1.0
tetM,tetM,Tetracycline resistance protein TetM from transposon Tn916,90.744,1943,7,1923.0,1.01
group_165,,hypothetical protein,90.759,303,4,303.0,1.0
group_619,,hypothetical protein,90.785,468,7,519.0,0.902
rplI,rplI,Large ribosomal subunit protein bL9,90.789,458,13,456.0,1.004
