Gene,Non-unique Gene name,Annotation,Lactobacillus_mulieris__UMB0007B__GCA_026184155.1,Lactobacillus_mulieris__UMB7783B__GCA_030228195.1
tcyA,tcyA;,L-cystine-binding protein TcyA;putative amino-acid ABC transporter-binding protein,OCAFGGHM_00424,GPENAHNM_00823
group_566,,hypothetical protein,OCAFGGHM_00832,GPENAHNM_00406
yjeM_2~~~yjeM_3,yjeM_2;yjeM_3,Inner membrane transporter YjeM,OCAFGGHM_01456,GPENAHNM_00831;GPENAHNM_00830
group_565,,hypothetical protein,OCAFGGHM_00671,GPENAHNM_00763
group_564,,hypothetical protein,OCAFGGHM_00782,GPENAHNM_01300
dfrA,dfrA,Dihydrofolate reductase,0_refound_2_pseudo,GPENAHNM_01038
pbp2a,pbp2a,Penicillin-binding protein 2a,0_refound_1,GPENAHNM_00693
group_558,,hypothetical protein,0_refound_0_pseudo,GPENAHNM_00687
group_551,,hypothetical protein,OCAFGGHM_01764,GPENAHNM_01146
group_550,,hypothetical protein,OCAFGGHM_01763,GPENAHNM_01540
greA_2,greA_2,Transcription elongation factor GreA,OCAFGGHM_01762,GPENAHNM_01539
group_549,,hypothetical protein,OCAFGGHM_01751,GPENAHNM_00789
rpmGA_2,rpmGA_2,Large ribosomal subunit protein bL33A,OCAFGGHM_01752,GPENAHNM_00788
group_548,,hypothetical protein,OCAFGGHM_01739,GPENAHNM_01351
group_547,,hypothetical protein,OCAFGGHM_01738,GPENAHNM_01350
group_546,,hypothetical protein,OCAFGGHM_01740,GPENAHNM_01352
group_545,,hypothetical protein,OCAFGGHM_01728,GPENAHNM_00832
group_544,,hypothetical protein,OCAFGGHM_01724,GPENAHNM_00915
group_543,,hypothetical protein,OCAFGGHM_01723,GPENAHNM_00916
ltaS2_2~~~ltaS1,ltaS2_2;ltaS1,Lipoteichoic acid synthase 2;Lipoteichoic acid synthase 1,OCAFGGHM_01714,GPENAHNM_00575
murC,murC,UDP-N-acetylmuramate--L-alanine ligase,OCAFGGHM_01715,GPENAHNM_00574
group_542,,hypothetical protein,OCAFGGHM_01712,GPENAHNM_01252
licT_2,licT_2,Transcription antiterminator LicT,OCAFGGHM_01713,GPENAHNM_01251
group_541,,hypothetical protein,OCAFGGHM_01711,GPENAHNM_01253
dps,dps,DNA protection during starvation protein,OCAFGGHM_01704,GPENAHNM_00911
group_540,,hypothetical protein,OCAFGGHM_01702,GPENAHNM_00913
group_539,,hypothetical protein,OCAFGGHM_01703,GPENAHNM_00912
group_538,,hypothetical protein,OCAFGGHM_01705,GPENAHNM_00910
manZ_3,manZ_3,PTS system mannose-specific EIID component,OCAFGGHM_01700,GPENAHNM_00721
group_537,,hypothetical protein,OCAFGGHM_01701,GPENAHNM_00722
manX_2,manX_2,PTS system mannose-specific EIIAB component,OCAFGGHM_01698,GPENAHNM_00719
sorA_2,sorA_2,PTS system sorbose-specific EIIC component,OCAFGGHM_01699,GPENAHNM_00720
purR_2~~~purR_1,purR_2;purR_1,HTH-type transcriptional repressor PurR,OCAFGGHM_01696,GPENAHNM_00373
vprA_2,vprA_2,Vinyl phenol reductase,OCAFGGHM_01697,GPENAHNM_00374
degA_4,degA_4,HTH-type transcriptional regulator DegA,OCAFGGHM_01695,GPENAHNM_00372
recX,recX,Regulatory protein RecX,OCAFGGHM_01692,GPENAHNM_00467
