Gene,Non-unique Gene name,Annotation,Lactobacillus_jensenii__UMB0732__GCA_030218485.1,Lactobacillus_jensenii__UMB10187__GCA_030211725.1,Lactobacillus_jensenii__UMB7786__GCA_030215165.1
asnS,asnS,Asparagine--tRNA ligase,BDMKMOGB_01357,IAAMHMBP_00674,PKFCGPHH_01395
era,era,GTPase Era,BDMKMOGB_01386,IAAMHMBP_00646,PKFCGPHH_01424
group_551,,hypothetical protein,BDMKMOGB_01358,IAAMHMBP_00673,PKFCGPHH_01396
group_550,,hypothetical protein,BDMKMOGB_01371,IAAMHMBP_00661,PKFCGPHH_01409
spsB,spsB,Signal peptidase IB,BDMKMOGB_01370,IAAMHMBP_00662,PKFCGPHH_01408
galK_3,galK_3,Galactokinase,BDMKMOGB_01362,IAAMHMBP_00669,PKFCGPHH_01400
recO,recO,DNA repair protein RecO,BDMKMOGB_01385,IAAMHMBP_00647,PKFCGPHH_01423
fni,fni,Isopentenyl-diphosphate delta-isomerase,BDMKMOGB_01365,IAAMHMBP_00666,PKFCGPHH_01403
ybaK,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,BDMKMOGB_01403,IAAMHMBP_00629,PKFCGPHH_01441
glyQ,glyQ,Glycine--tRNA ligase alpha subunit,BDMKMOGB_01384,IAAMHMBP_00648,PKFCGPHH_01422
cdd,cdd,Cytidine deaminase,BDMKMOGB_01387,IAAMHMBP_00645,PKFCGPHH_01425
group_549,,hypothetical protein,BDMKMOGB_01373,IAAMHMBP_00659,PKFCGPHH_01411
glyS,glyS,Glycine--tRNA ligase beta subunit,BDMKMOGB_01383,IAAMHMBP_00649,PKFCGPHH_01421
group_548,,hypothetical protein,BDMKMOGB_01404,IAAMHMBP_00628,PKFCGPHH_01442
ndvA,ndvA,Beta-(1-->2)glucan export ATP-binding/permease protein NdvA,BDMKMOGB_01396,IAAMHMBP_00636,PKFCGPHH_01434
group_547,,hypothetical protein,BDMKMOGB_01372,IAAMHMBP_00660,PKFCGPHH_01410
relA,relA,GTP pyrophosphokinase,BDMKMOGB_01400,IAAMHMBP_00632,PKFCGPHH_01438
ybeY,ybeY,Endoribonuclease YbeY,BDMKMOGB_01388,IAAMHMBP_00644,PKFCGPHH_01426
trmK,trmK,tRNA (adenine(22)-N(1))-methyltransferase,BDMKMOGB_01380,IAAMHMBP_00652,PKFCGPHH_01418
dtd,dtd,D-aminoacyl-tRNA deacylase,BDMKMOGB_01399,IAAMHMBP_00633,PKFCGPHH_01437
msrB,msrB,Peptide methionine sulfoxide reductase MsrB,BDMKMOGB_01395,IAAMHMBP_00637,PKFCGPHH_01433
ytrA,ytrA,HTH-type transcriptional repressor YtrA,BDMKMOGB_01377,IAAMHMBP_00655,PKFCGPHH_01415
prmA,prmA,Ribosomal protein L11 methyltransferase,BDMKMOGB_01402,IAAMHMBP_00630,PKFCGPHH_01440
msrA,msrA,Peptide methionine sulfoxide reductase MsrA,BDMKMOGB_01394,IAAMHMBP_00638,PKFCGPHH_01432
group_546,,Phosphomevalonate kinase,BDMKMOGB_01364,IAAMHMBP_00667,PKFCGPHH_01402
group_545,,hypothetical protein,BDMKMOGB_01401,IAAMHMBP_00631,PKFCGPHH_01439
group_544,,PhoH-like protein,BDMKMOGB_01389,IAAMHMBP_00643,PKFCGPHH_01427
albC,albC,Putative ABC transporter ATP-binding protein AlbC,BDMKMOGB_01376,IAAMHMBP_00656,PKFCGPHH_01414
sigA,sigA,RNA polymerase sigma factor SigA,BDMKMOGB_01381,IAAMHMBP_00651,PKFCGPHH_01419
pepT_2,pepT_2,Peptidase T,BDMKMOGB_01378,IAAMHMBP_00654,PKFCGPHH_01416
group_543,,hypothetical protein,BDMKMOGB_01363,IAAMHMBP_00668,PKFCGPHH_01401
group_542,,hypothetical protein,BDMKMOGB_01393,IAAMHMBP_00639,PKFCGPHH_01431
group_541,,GTP cyclohydrolase 1 type 2,BDMKMOGB_01379,IAAMHMBP_00653,PKFCGPHH_01417
group_540,,hypothetical protein,BDMKMOGB_01374,IAAMHMBP_00658,PKFCGPHH_01412
dnaD,dnaD,Replicative helicase loading/DNA remodeling protein DnaD,BDMKMOGB_01356,IAAMHMBP_00675,PKFCGPHH_01394
yqeY,yqeY,putative protein YqeY,BDMKMOGB_01390,IAAMHMBP_00642,PKFCGPHH_01428
group_539,,hypothetical protein,BDMKMOGB_01368,IAAMHMBP_00664,PKFCGPHH_01406
nth,nth,Endonuclease III,BDMKMOGB_01355,IAAMHMBP_00676,PKFCGPHH_01393
dnaG,dnaG,DNA primase,BDMKMOGB_01382,IAAMHMBP_00650,PKFCGPHH_01420
group_538,,hypothetical protein,BDMKMOGB_01369,IAAMHMBP_00663,PKFCGPHH_01407
dinG,dinG,3'-5' exonuclease DinG,BDMKMOGB_01359,IAAMHMBP_00672,PKFCGPHH_01397
yokD_2,yokD_2,SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD,BDMKMOGB_01354,IAAMHMBP_00677,PKFCGPHH_01392
hisS,hisS,Histidine--tRNA ligase,BDMKMOGB_01398,IAAMHMBP_00634,PKFCGPHH_01436
group_537,,hypothetical protein,BDMKMOGB_01375,IAAMHMBP_00657,PKFCGPHH_01413
aspS,aspS,Aspartate--tRNA ligase,BDMKMOGB_01397,IAAMHMBP_00635,PKFCGPHH_01435
rsmF_2~~~rsmF~~~rsmF_1,rsmF_2;rsmF;rsmF_1,Ribosomal RNA small subunit methyltransferase F,BDMKMOGB_01366;BDMKMOGB_01367,IAAMHMBP_00665,PKFCGPHH_01404;PKFCGPHH_01405
addB,addB,ATP-dependent helicase/deoxyribonuclease subunit B,BDMKMOGB_01361,IAAMHMBP_00670,PKFCGPHH_01399
addA,addA,ATP-dependent helicase/nuclease subunit A,BDMKMOGB_01360,IAAMHMBP_00671,PKFCGPHH_01398
citG,citG,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,BDMKMOGB_01405,IAAMHMBP_00627,PKFCGPHH_01443
rpsU,rpsU,Small ribosomal subunit protein bS21,BDMKMOGB_01391,IAAMHMBP_00641,PKFCGPHH_01429
yqfL,yqfL,Putative pyruvate phosphate dikinase regulatory protein,BDMKMOGB_01392,IAAMHMBP_00640,PKFCGPHH_01430
yffB,yffB,Protein YffB,BDMKMOGB_01342,IAAMHMBP_00786,PKFCGPHH_01253
pepX,pepX,Xaa-Pro dipeptidyl-peptidase,BDMKMOGB_01341,IAAMHMBP_00787,PKFCGPHH_01254
glyA,glyA,Serine hydroxymethyltransferase,BDMKMOGB_01337,IAAMHMBP_00860,PKFCGPHH_01377
ypjQ,ypjQ,putative protein YpjQ,BDMKMOGB_01339,IAAMHMBP_00862,PKFCGPHH_01379
dedA,dedA,DedA family protein,BDMKMOGB_01338,IAAMHMBP_00861,PKFCGPHH_01378
yumC,yumC,Ferredoxin--NADP reductase 2,BDMKMOGB_01340,IAAMHMBP_00863,PKFCGPHH_01380
group_535,,hypothetical protein,BDMKMOGB_01334,IAAMHMBP_01049,PKFCGPHH_01250
resD,resD,Transcriptional regulatory protein ResD,BDMKMOGB_01335,IAAMHMBP_01048,PKFCGPHH_01249
rcsC_2,rcsC_2,Sensor histidine kinase RcsC,BDMKMOGB_01336,IAAMHMBP_01047,PKFCGPHH_01248
gmuF,gmuF,putative mannose-6-phosphate isomerase GmuF,BDMKMOGB_01333,IAAMHMBP_01050,PKFCGPHH_01251
group_534,,putative tautomerase.1,BDMKMOGB_01304,IAAMHMBP_00090,PKFCGPHH_01481
group_533,,hypothetical protein,BDMKMOGB_01296,IAAMHMBP_00098,PKFCGPHH_01489
arcC1,arcC1,Carbamate kinase 1,BDMKMOGB_01319,IAAMHMBP_00075,PKFCGPHH_01466
ruvB,ruvB,Holliday junction branch migration complex subunit RuvB,BDMKMOGB_01289,IAAMHMBP_00105,PKFCGPHH_01496
ruvA,ruvA,Holliday junction branch migration complex subunit RuvA,BDMKMOGB_01288,IAAMHMBP_00106,PKFCGPHH_01497
group_532,,hypothetical protein,BDMKMOGB_01279,IAAMHMBP_00115,PKFCGPHH_01355
malR~~~rbsR,malR;rbsR,HTH-type transcriptional regulator MalR;Ribose operon repressor,BDMKMOGB_01324,IAAMHMBP_00070,PKFCGPHH_01461
group_531,,hypothetical protein,BDMKMOGB_01281,IAAMHMBP_00113,PKFCGPHH_01504
hsdM,hsdM,Type I restriction enzyme HindI methylase subunit,BDMKMOGB_01283,IAAMHMBP_00111,PKFCGPHH_01502
msmX_3,msmX_3,Oligosaccharides import ATP-binding protein MsmX,BDMKMOGB_01351,IAAMHMBP_00069,PKFCGPHH_01460
group_530,,hypothetical protein,BDMKMOGB_01306,IAAMHMBP_00088,PKFCGPHH_01479
group_529,,hypothetical protein,BDMKMOGB_01282,IAAMHMBP_00112,PKFCGPHH_01503
yutF,yutF,5'-nucleotidase YutF,BDMKMOGB_01315,IAAMHMBP_00079,PKFCGPHH_01470
uup_4,uup_4,ATP-binding protein Uup,BDMKMOGB_01280,IAAMHMBP_00114,PKFCGPHH_01505
group_528,,hypothetical protein,BDMKMOGB_01317,IAAMHMBP_00077,PKFCGPHH_01468
cshB,cshB,DEAD-box ATP-dependent RNA helicase CshB,BDMKMOGB_01294,IAAMHMBP_00100,PKFCGPHH_01491
groES,groES,Co-chaperonin GroES,BDMKMOGB_01276,IAAMHMBP_00118,PKFCGPHH_01358
group_527,,hypothetical protein,BDMKMOGB_01316,IAAMHMBP_00078,PKFCGPHH_01469
groEL,groEL,Chaperonin GroEL,BDMKMOGB_01277,IAAMHMBP_00117,PKFCGPHH_01357
mutSB,mutSB,Putative endonuclease MutS2,BDMKMOGB_01299,IAAMHMBP_00095,PKFCGPHH_01486
group_526,,hypothetical protein,BDMKMOGB_01311,IAAMHMBP_00083,PKFCGPHH_01474
group_525,,hypothetical protein,BDMKMOGB_01290,IAAMHMBP_00104,PKFCGPHH_01495
group_524,,hypothetical protein,BDMKMOGB_01352,IAAMHMBP_00068,PKFCGPHH_01459
group_523,,dITP/XTP pyrophosphatase,BDMKMOGB_01303,IAAMHMBP_00091,PKFCGPHH_01482
arcA,arcA,Arginine deiminase,BDMKMOGB_01320,IAAMHMBP_00074,PKFCGPHH_01465
yrrK,yrrK,Putative pre-16S rRNA nuclease,BDMKMOGB_01297,IAAMHMBP_00097,PKFCGPHH_01488
group_522,,hypothetical protein,BDMKMOGB_01313,IAAMHMBP_00081,PKFCGPHH_01472
nrnA,nrnA,putative bifunctional oligoribonuclease and PAP phosphatase NrnA,BDMKMOGB_01293,IAAMHMBP_00101,PKFCGPHH_01492
pepV,pepV,Beta-Ala-Xaa dipeptidase,BDMKMOGB_01310,IAAMHMBP_00084,PKFCGPHH_01475
trxA,trxA,Thioredoxin,BDMKMOGB_01300,IAAMHMBP_00094,PKFCGPHH_01485
pepQ,pepQ,Xaa-Pro dipeptidase,BDMKMOGB_01308,IAAMHMBP_00086,PKFCGPHH_01477
group_521,,hypothetical protein,BDMKMOGB_01298,IAAMHMBP_00096,PKFCGPHH_01487
mutS,mutS,DNA mismatch repair protein MutS,BDMKMOGB_01286,IAAMHMBP_00108,PKFCGPHH_01499
alaS,alaS,Alanine--tRNA ligase,BDMKMOGB_01295,IAAMHMBP_00099,PKFCGPHH_01490
arcD1_1,arcD1_1,Arginine/ornithine antiporter ArcD1,BDMKMOGB_01321,IAAMHMBP_00073,PKFCGPHH_01464
dinB_2,dinB_2,DNA polymerase IV,BDMKMOGB_01292,IAAMHMBP_00102,PKFCGPHH_01493
group_520,,hypothetical protein,BDMKMOGB_01312,IAAMHMBP_00082,PKFCGPHH_01473
murI,murI,Glutamate racemase,BDMKMOGB_01302,IAAMHMBP_00092,PKFCGPHH_01483
arcD1_2,arcD1_2,Arginine/ornithine antiporter ArcD1,BDMKMOGB_01322,IAAMHMBP_00072,PKFCGPHH_01463
group_519,,hypothetical protein,BDMKMOGB_01284,IAAMHMBP_00110,PKFCGPHH_01501
yslB,yslB,putative protein YslB,BDMKMOGB_01301,IAAMHMBP_00093,PKFCGPHH_01484
group_518,,hypothetical protein,BDMKMOGB_01314,IAAMHMBP_00080,PKFCGPHH_01471
group_517,,hypothetical protein,BDMKMOGB_01285,IAAMHMBP_00109,PKFCGPHH_01500
gtfA,gtfA,Sucrose phosphorylase,BDMKMOGB_01323,IAAMHMBP_00071,PKFCGPHH_01462
zwf,zwf,Glucose-6-phosphate 1-dehydrogenase,BDMKMOGB_01291,IAAMHMBP_00103,PKFCGPHH_01494
group_516,,hypothetical protein,BDMKMOGB_01307,IAAMHMBP_00087,PKFCGPHH_01478
ccpA_3,ccpA_3,Catabolite control protein A,BDMKMOGB_01309,IAAMHMBP_00085,PKFCGPHH_01476
ykuT,ykuT,putative MscS family protein YkuT,BDMKMOGB_01305,IAAMHMBP_00089,PKFCGPHH_01480
mutL,mutL,DNA mismatch repair protein MutL,BDMKMOGB_01287,IAAMHMBP_00107,PKFCGPHH_01498
argF,argF,Ornithine carbamoyltransferase,BDMKMOGB_01318,IAAMHMBP_00076,PKFCGPHH_01467
group_515,,hypothetical protein,BDMKMOGB_01278,IAAMHMBP_00116,PKFCGPHH_01356
pbuG_2,pbuG_2,Guanine/hypoxanthine permease PbuG,BDMKMOGB_01350,IAAMHMBP_01607,PKFCGPHH_00041
group_510,,L-lactate oxidase,BDMKMOGB_01349,IAAMHMBP_01608,PKFCGPHH_00040
pbuG_1,pbuG_1,Guanine/hypoxanthine permease PbuG,BDMKMOGB_01238,IAAMHMBP_01606,PKFCGPHH_00042
gnd,gnd,6-phosphogluconate dehydrogenase decarboxylating,BDMKMOGB_01241,IAAMHMBP_01603,PKFCGPHH_00045
group_509,,hypothetical protein,BDMKMOGB_01240,IAAMHMBP_01604,PKFCGPHH_00044
clcA,clcA,H(+)/Cl(-) exchange transporter ClcA,BDMKMOGB_01239,IAAMHMBP_01605,PKFCGPHH_00043
pncB,pncB,Nicotinate phosphoribosyltransferase,BDMKMOGB_01198,IAAMHMBP_00226,PKFCGPHH_01327
ettA,ettA,Energy-dependent translational throttle protein EttA,BDMKMOGB_01172,IAAMHMBP_00199,PKFCGPHH_01301
group_507,,hypothetical protein,BDMKMOGB_01195,IAAMHMBP_00223,PKFCGPHH_01324
nadE,nadE,NH(3)-dependent NAD(+) synthetase,BDMKMOGB_01197,IAAMHMBP_00225,PKFCGPHH_01326
odcI,odcI,Inducible ornithine decarboxylase,BDMKMOGB_01182,IAAMHMBP_00210,PKFCGPHH_01311
arnC_2,arnC_2,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,BDMKMOGB_01203,IAAMHMBP_00230,PKFCGPHH_01332
manZ_3,manZ_3,PTS system mannose-specific EIID component,BDMKMOGB_01221,IAAMHMBP_00248,PKFCGPHH_01350
dagK,dagK,Diacylglycerol kinase,BDMKMOGB_01184,IAAMHMBP_00212,PKFCGPHH_01313
panT,panT,Pantothenate transporter PanT,BDMKMOGB_01192,IAAMHMBP_00220,PKFCGPHH_01321
ligA,ligA,DNA ligase,BDMKMOGB_01189,IAAMHMBP_00217,PKFCGPHH_01318
group_506,,hypothetical protein,BDMKMOGB_01180,IAAMHMBP_00207,PKFCGPHH_01309
group_505,,hypothetical protein,BDMKMOGB_01175,IAAMHMBP_00202,PKFCGPHH_01304
group_504,,putative RNA methyltransferase,BDMKMOGB_01177,IAAMHMBP_00204,PKFCGPHH_01306
group_503,,hypothetical protein,BDMKMOGB_01174,IAAMHMBP_00201,PKFCGPHH_01303
nhaC,nhaC,Na(+)/H(+) antiporter NhaC,BDMKMOGB_01178,IAAMHMBP_00205,PKFCGPHH_01307
group_502,,hypothetical protein,BDMKMOGB_01220,IAAMHMBP_00247,PKFCGPHH_01349
group_501,,hypothetical protein,BDMKMOGB_01215,IAAMHMBP_00242,PKFCGPHH_01344
pcrA,pcrA,ATP-dependent DNA helicase PcrA,BDMKMOGB_01190,IAAMHMBP_00218,PKFCGPHH_01319
cycA,cycA,D-serine/D-alanine/glycine transporter,BDMKMOGB_01219,IAAMHMBP_00246,PKFCGPHH_01348
bshA,bshA,N-acetyl-alpha-D-glucosaminyl L-malate synthase,BDMKMOGB_01204,IAAMHMBP_00231,PKFCGPHH_01333
group_500,,Protein SprT-like protein,BDMKMOGB_01194,IAAMHMBP_00222,PKFCGPHH_01323
group_499,,hypothetical protein,BDMKMOGB_01202,IAAMHMBP_00229,PKFCGPHH_01331
nagR,nagR,HTH-type transcriptional repressor NagR,BDMKMOGB_01209,IAAMHMBP_00236,PKFCGPHH_01338
gatC,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,BDMKMOGB_01187,IAAMHMBP_00215,PKFCGPHH_01316
ybhL,ybhL,Inner membrane protein YbhL,BDMKMOGB_01179,IAAMHMBP_00206,PKFCGPHH_01308
group_498,,hypothetical protein,BDMKMOGB_01201;BDMKMOGB_01200,IAAMHMBP_00228,PKFCGPHH_01330;PKFCGPHH_01329
group_497,,hypothetical protein,BDMKMOGB_01199,IAAMHMBP_00227,PKFCGPHH_01328
tagD,tagD,Glycerol-3-phosphate cytidylyltransferase,BDMKMOGB_01208,IAAMHMBP_00235,PKFCGPHH_01337
group_496,,hypothetical protein,BDMKMOGB_01210,IAAMHMBP_00237,PKFCGPHH_01339
group_495,,hypothetical protein,BDMKMOGB_01173,IAAMHMBP_00200,PKFCGPHH_01302
group_494,,Calcium-transporting ATPase 1,BDMKMOGB_01196,IAAMHMBP_00224,PKFCGPHH_01325
ycaM_1~~~ycaM_2,ycaM_1;ycaM_2,Inner membrane transporter YcaM,BDMKMOGB_01181,IAAMHMBP_00209;IAAMHMBP_00208,PKFCGPHH_01310
group_493,,hypothetical protein,BDMKMOGB_01183,IAAMHMBP_00211,PKFCGPHH_01312
group_492,,hypothetical protein,BDMKMOGB_01176,IAAMHMBP_00203,PKFCGPHH_01305
sorA_2,sorA_2,PTS system sorbose-specific EIIC component,BDMKMOGB_01222,IAAMHMBP_00249,PKFCGPHH_01351
rfbX,rfbX,Putative O-antigen transporter,BDMKMOGB_01206,IAAMHMBP_00233,PKFCGPHH_01335
gatB,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,BDMKMOGB_01185,IAAMHMBP_00213,PKFCGPHH_01314
rex,rex,Redox-sensing transcriptional repressor Rex,BDMKMOGB_01171,IAAMHMBP_00198,PKFCGPHH_01300
qacC,qacC,Quaternary ammonium compound-resistance protein QacC,BDMKMOGB_01216,IAAMHMBP_00243,PKFCGPHH_01345
group_491,,hypothetical protein,BDMKMOGB_01191,IAAMHMBP_00219,PKFCGPHH_01320
gatA,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,BDMKMOGB_01186,IAAMHMBP_00214,PKFCGPHH_01315
pspB,pspB,Putative phosphoserine phosphatase 2,BDMKMOGB_01214,IAAMHMBP_00241,PKFCGPHH_01343
manX_2,manX_2,PTS system mannose-specific EIIAB component,BDMKMOGB_01223,IAAMHMBP_00250,PKFCGPHH_01352
group_490,,hypothetical protein,BDMKMOGB_01207,IAAMHMBP_00234,PKFCGPHH_01336
tagA,tagA,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase,BDMKMOGB_01205,IAAMHMBP_00232,PKFCGPHH_01334
yerH,yerH,putative lipoprotein YerH,BDMKMOGB_01188,IAAMHMBP_00216,PKFCGPHH_01317
leuS,leuS,Leucine--tRNA ligase,BDMKMOGB_01163,IAAMHMBP_00752,PKFCGPHH_01276
group_489,,hypothetical protein,BDMKMOGB_01160,IAAMHMBP_00755,PKFCGPHH_01273
group_488,,hypothetical protein,BDMKMOGB_01161,IAAMHMBP_00754,PKFCGPHH_01274
murJ_2,murJ_2,Lipid II flippase MurJ,BDMKMOGB_01162,IAAMHMBP_00753,PKFCGPHH_01275
hepT,hepT,Heptaprenyl diphosphate synthase component 2,BDMKMOGB_01245,IAAMHMBP_00748,PKFCGPHH_00634
