Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_jensenii__UMB0732__GCA_030218485.1,Lactobacillus_jensenii__UMB10187__GCA_030211725.1,Lactobacillus_jensenii__UMB7786__GCA_030215165.1
asnS,asnS,Asparagine--tRNA ligase,3,3,1.0,41,51,,,,1299,1299,1299.0,BDMKMOGB_01357,IAAMHMBP_00674,PKFCGPHH_01395
era,era,GTPase Era,3,3,1.0,41,50,,,,909,909,909.0,BDMKMOGB_01386,IAAMHMBP_00646,PKFCGPHH_01424
group_551,,hypothetical protein,3,3,1.0,41,49,,,,492,492,492.0,BDMKMOGB_01358,IAAMHMBP_00673,PKFCGPHH_01396
group_550,,hypothetical protein,3,3,1.0,41,48,,,,186,186,186.0,BDMKMOGB_01371,IAAMHMBP_00661,PKFCGPHH_01409
spsB,spsB,Signal peptidase IB,3,3,1.0,41,47,,,,579,579,579.0,BDMKMOGB_01370,IAAMHMBP_00662,PKFCGPHH_01408
galK_3,galK_3,Galactokinase,3,3,1.0,41,46,,,,915,915,915.0,BDMKMOGB_01362,IAAMHMBP_00669,PKFCGPHH_01400
recO,recO,DNA repair protein RecO,3,3,1.0,41,45,,,,756,756,756.0,BDMKMOGB_01385,IAAMHMBP_00647,PKFCGPHH_01423
fni,fni,Isopentenyl-diphosphate delta-isomerase,3,3,1.0,41,44,,,,1023,1023,1023.0,BDMKMOGB_01365,IAAMHMBP_00666,PKFCGPHH_01403
ybaK,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,3,3,1.0,41,43,,,,507,507,507.0,BDMKMOGB_01403,IAAMHMBP_00629,PKFCGPHH_01441
glyQ,glyQ,Glycine--tRNA ligase alpha subunit,3,3,1.0,41,42,,,,918,918,918.0,BDMKMOGB_01384,IAAMHMBP_00648,PKFCGPHH_01422
cdd,cdd,Cytidine deaminase,3,3,1.0,41,41,,,,423,423,423.0,BDMKMOGB_01387,IAAMHMBP_00645,PKFCGPHH_01425
group_549,,hypothetical protein,3,3,1.0,41,40,,,,759,759,759.0,BDMKMOGB_01373,IAAMHMBP_00659,PKFCGPHH_01411
glyS,glyS,Glycine--tRNA ligase beta subunit,3,3,1.0,41,39,,,,2067,2067,2067.0,BDMKMOGB_01383,IAAMHMBP_00649,PKFCGPHH_01421
group_548,,hypothetical protein,3,3,1.0,41,38,,,,1359,1359,1359.0,BDMKMOGB_01404,IAAMHMBP_00628,PKFCGPHH_01442
ndvA,ndvA,Beta-(1-->2)glucan export ATP-binding/permease protein NdvA,3,3,1.0,41,37,,,,1587,1587,1587.0,BDMKMOGB_01396,IAAMHMBP_00636,PKFCGPHH_01434
group_547,,hypothetical protein,3,3,1.0,41,36,,,,687,687,687.0,BDMKMOGB_01372,IAAMHMBP_00660,PKFCGPHH_01410
relA,relA,GTP pyrophosphokinase,3,3,1.0,41,35,,,,2238,2238,2238.0,BDMKMOGB_01400,IAAMHMBP_00632,PKFCGPHH_01438
ybeY,ybeY,Endoribonuclease YbeY,3,3,1.0,41,34,,,,525,525,525.0,BDMKMOGB_01388,IAAMHMBP_00644,PKFCGPHH_01426
trmK,trmK,tRNA (adenine(22)-N(1))-methyltransferase,3,3,1.0,41,33,,,,690,690,690.0,BDMKMOGB_01380,IAAMHMBP_00652,PKFCGPHH_01418
dtd,dtd,D-aminoacyl-tRNA deacylase,3,3,1.0,41,32,,,,441,441,441.0,BDMKMOGB_01399,IAAMHMBP_00633,PKFCGPHH_01437
msrB,msrB,Peptide methionine sulfoxide reductase MsrB,3,3,1.0,41,31,,,,441,441,441.0,BDMKMOGB_01395,IAAMHMBP_00637,PKFCGPHH_01433
ytrA,ytrA,HTH-type transcriptional repressor YtrA,3,3,1.0,41,30,,,,369,369,369.0,BDMKMOGB_01377,IAAMHMBP_00655,PKFCGPHH_01415
prmA,prmA,Ribosomal protein L11 methyltransferase,3,3,1.0,41,29,,,,945,945,945.0,BDMKMOGB_01402,IAAMHMBP_00630,PKFCGPHH_01440
msrA,msrA,Peptide methionine sulfoxide reductase MsrA,3,3,1.0,41,28,,,,531,531,531.0,BDMKMOGB_01394,IAAMHMBP_00638,PKFCGPHH_01432
group_546,,Phosphomevalonate kinase,3,3,1.0,41,27,,,,1089,1089,1089.0,BDMKMOGB_01364,IAAMHMBP_00667,PKFCGPHH_01402
group_545,,hypothetical protein,3,3,1.0,41,26,,,,375,375,375.0,BDMKMOGB_01401,IAAMHMBP_00631,PKFCGPHH_01439
group_544,,PhoH-like protein,3,3,1.0,41,25,,,,954,954,954.0,BDMKMOGB_01389,IAAMHMBP_00643,PKFCGPHH_01427
albC,albC,Putative ABC transporter ATP-binding protein AlbC,3,3,1.0,41,24,,,,702,702,702.0,BDMKMOGB_01376,IAAMHMBP_00656,PKFCGPHH_01414
sigA,sigA,RNA polymerase sigma factor SigA,3,3,1.0,41,23,,,,1095,1095,1095.0,BDMKMOGB_01381,IAAMHMBP_00651,PKFCGPHH_01419
pepT_2,pepT_2,Peptidase T,3,3,1.0,41,22,,,,1239,1239,1239.0,BDMKMOGB_01378,IAAMHMBP_00654,PKFCGPHH_01416
group_543,,hypothetical protein,3,3,1.0,41,21,,,,963,963,963.0,BDMKMOGB_01363,IAAMHMBP_00668,PKFCGPHH_01401
group_542,,hypothetical protein,3,3,1.0,41,20,,,,879,879,879.0,BDMKMOGB_01393,IAAMHMBP_00639,PKFCGPHH_01431
group_541,,GTP cyclohydrolase 1 type 2,3,3,1.0,41,19,,,,798,798,798.0,BDMKMOGB_01379,IAAMHMBP_00653,PKFCGPHH_01417
group_540,,hypothetical protein,3,3,1.0,41,18,,,,798,798,798.0,BDMKMOGB_01374,IAAMHMBP_00658,PKFCGPHH_01412
dnaD,dnaD,Replicative helicase loading/DNA remodeling protein DnaD,3,3,1.0,41,17,,,,636,636,636.0,BDMKMOGB_01356,IAAMHMBP_00675,PKFCGPHH_01394
yqeY,yqeY,putative protein YqeY,3,3,1.0,41,16,,,,462,462,462.0,BDMKMOGB_01390,IAAMHMBP_00642,PKFCGPHH_01428
group_539,,hypothetical protein,3,3,1.0,41,15,,,,972,972,972.0,BDMKMOGB_01368,IAAMHMBP_00664,PKFCGPHH_01406
nth,nth,Endonuclease III,3,3,1.0,41,14,,,,642,642,642.0,BDMKMOGB_01355,IAAMHMBP_00676,PKFCGPHH_01393
dnaG,dnaG,DNA primase,3,3,1.0,41,13,,,,1788,1788,1788.0,BDMKMOGB_01382,IAAMHMBP_00650,PKFCGPHH_01420
group_538,,hypothetical protein,3,3,1.0,41,12,,,,723,723,723.0,BDMKMOGB_01369,IAAMHMBP_00663,PKFCGPHH_01407
dinG,dinG,3'-5' exonuclease DinG,3,3,1.0,41,11,,,,2811,2811,2811.0,BDMKMOGB_01359,IAAMHMBP_00672,PKFCGPHH_01397
yokD_2,yokD_2,SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD,3,3,1.0,41,10,,,,810,810,810.0,BDMKMOGB_01354,IAAMHMBP_00677,PKFCGPHH_01392
hisS,hisS,Histidine--tRNA ligase,3,3,1.0,41,9,,,,1281,1281,1281.0,BDMKMOGB_01398,IAAMHMBP_00634,PKFCGPHH_01436
group_537,,hypothetical protein,3,3,1.0,41,8,,,,813,813,813.0,BDMKMOGB_01375,IAAMHMBP_00657,PKFCGPHH_01413
aspS,aspS,Aspartate--tRNA ligase,3,3,1.0,41,7,,,,1833,1833,1833.0,BDMKMOGB_01397,IAAMHMBP_00635,PKFCGPHH_01435
rsmF_2~~~rsmF~~~rsmF_1,rsmF_2;rsmF;rsmF_1,Ribosomal RNA small subunit methyltransferase F,3,5,1.6666666666666667,41,6,,,,633,1389,846.6,BDMKMOGB_01366;BDMKMOGB_01367,IAAMHMBP_00665,PKFCGPHH_01404;PKFCGPHH_01405
addB,addB,ATP-dependent helicase/deoxyribonuclease subunit B,3,3,1.0,41,5,,,,3456,3456,3456.0,BDMKMOGB_01361,IAAMHMBP_00670,PKFCGPHH_01399
addA,addA,ATP-dependent helicase/nuclease subunit A,3,3,1.0,41,4,,,,3561,3561,3561.0,BDMKMOGB_01360,IAAMHMBP_00671,PKFCGPHH_01398
citG,citG,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,3,3,1.0,41,3,,,,819,819,819.0,BDMKMOGB_01405,IAAMHMBP_00627,PKFCGPHH_01443
rpsU,rpsU,Small ribosomal subunit protein bS21,3,3,1.0,41,2,,,,177,177,177.0,BDMKMOGB_01391,IAAMHMBP_00641,PKFCGPHH_01429
yqfL,yqfL,Putative pyruvate phosphate dikinase regulatory protein,3,3,1.0,41,1,,,,825,825,825.0,BDMKMOGB_01392,IAAMHMBP_00640,PKFCGPHH_01430
yffB,yffB,Protein YffB,3,3,1.0,39,2,,,,357,357,357.0,BDMKMOGB_01342,IAAMHMBP_00786,PKFCGPHH_01253
pepX,pepX,Xaa-Pro dipeptidyl-peptidase,3,3,1.0,39,1,,,,2379,2379,2379.0,BDMKMOGB_01341,IAAMHMBP_00787,PKFCGPHH_01254
glyA,glyA,Serine hydroxymethyltransferase,3,3,1.0,38,4,,,,1236,1236,1236.0,BDMKMOGB_01337,IAAMHMBP_00860,PKFCGPHH_01377
ypjQ,ypjQ,putative protein YpjQ,3,3,1.0,38,3,,,,513,513,513.0,BDMKMOGB_01339,IAAMHMBP_00862,PKFCGPHH_01379
dedA,dedA,DedA family protein,3,3,1.0,38,2,,,,651,651,651.0,BDMKMOGB_01338,IAAMHMBP_00861,PKFCGPHH_01378
yumC,yumC,Ferredoxin--NADP reductase 2,3,3,1.0,38,1,,,,843,843,843.0,BDMKMOGB_01340,IAAMHMBP_00863,PKFCGPHH_01380
group_535,,hypothetical protein,3,3,1.0,37,4,,,,393,393,393.0,BDMKMOGB_01334,IAAMHMBP_01049,PKFCGPHH_01250
resD,resD,Transcriptional regulatory protein ResD,3,3,1.0,37,3,,,,723,723,723.0,BDMKMOGB_01335,IAAMHMBP_01048,PKFCGPHH_01249
rcsC_2,rcsC_2,Sensor histidine kinase RcsC,3,3,1.0,37,2,,,,1467,1467,1467.0,BDMKMOGB_01336,IAAMHMBP_01047,PKFCGPHH_01248
gmuF,gmuF,putative mannose-6-phosphate isomerase GmuF,3,3,1.0,37,1,,,,963,963,963.0,BDMKMOGB_01333,IAAMHMBP_01050,PKFCGPHH_01251
group_534,,putative tautomerase.1,3,3,1.0,36,51,,,,180,180,180.0,BDMKMOGB_01304,IAAMHMBP_00090,PKFCGPHH_01481
group_533,,hypothetical protein,3,3,1.0,36,50,,,,258,258,258.0,BDMKMOGB_01296,IAAMHMBP_00098,PKFCGPHH_01489
arcC1,arcC1,Carbamate kinase 1,3,3,1.0,36,49,,,,915,915,915.0,BDMKMOGB_01319,IAAMHMBP_00075,PKFCGPHH_01466
ruvB,ruvB,Holliday junction branch migration complex subunit RuvB,3,3,1.0,36,48,,,,1014,1014,1014.0,BDMKMOGB_01289,IAAMHMBP_00105,PKFCGPHH_01496
ruvA,ruvA,Holliday junction branch migration complex subunit RuvA,3,3,1.0,36,47,,,,582,582,582.0,BDMKMOGB_01288,IAAMHMBP_00106,PKFCGPHH_01497
group_532,,hypothetical protein,3,3,1.0,36,46,,,,837,837,837.0,BDMKMOGB_01279,IAAMHMBP_00115,PKFCGPHH_01355
malR~~~rbsR,malR;rbsR,HTH-type transcriptional regulator MalR;Ribose operon repressor,3,3,1.0,36,45,,,,717,951,873.0,BDMKMOGB_01324,IAAMHMBP_00070,PKFCGPHH_01461
group_531,,hypothetical protein,3,3,1.0,36,44,,,,672,672,672.0,BDMKMOGB_01281,IAAMHMBP_00113,PKFCGPHH_01504
hsdM,hsdM,Type I restriction enzyme HindI methylase subunit,3,3,1.0,36,43,,,,1533,1533,1533.0,BDMKMOGB_01283,IAAMHMBP_00111,PKFCGPHH_01502
msmX_3,msmX_3,Oligosaccharides import ATP-binding protein MsmX,3,3,1.0,36,42,,,,195,195,195.0,BDMKMOGB_01351,IAAMHMBP_00069,PKFCGPHH_01460
group_530,,hypothetical protein,3,3,1.0,36,41,,,,426,426,426.0,BDMKMOGB_01306,IAAMHMBP_00088,PKFCGPHH_01479
group_529,,hypothetical protein,3,3,1.0,36,40,,,,2082,2082,2082.0,BDMKMOGB_01282,IAAMHMBP_00112,PKFCGPHH_01503
yutF,yutF,5'-nucleotidase YutF,3,3,1.0,36,39,,,,765,765,765.0,BDMKMOGB_01315,IAAMHMBP_00079,PKFCGPHH_01470
uup_4,uup_4,ATP-binding protein Uup,3,3,1.0,36,38,,,,1566,1566,1566.0,BDMKMOGB_01280,IAAMHMBP_00114,PKFCGPHH_01505
group_528,,hypothetical protein,3,3,1.0,36,37,,,,852,852,852.0,BDMKMOGB_01317,IAAMHMBP_00077,PKFCGPHH_01468
cshB,cshB,DEAD-box ATP-dependent RNA helicase CshB,3,3,1.0,36,36,,,,1359,1359,1359.0,BDMKMOGB_01294,IAAMHMBP_00100,PKFCGPHH_01491
groES,groES,Co-chaperonin GroES,3,3,1.0,36,35,,,,285,285,285.0,BDMKMOGB_01276,IAAMHMBP_00118,PKFCGPHH_01358
group_527,,hypothetical protein,3,3,1.0,36,34,,,,606,606,606.0,BDMKMOGB_01316,IAAMHMBP_00078,PKFCGPHH_01469
groEL,groEL,Chaperonin GroEL,3,3,1.0,36,33,,,,1626,1626,1626.0,BDMKMOGB_01277,IAAMHMBP_00117,PKFCGPHH_01357
